fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,60.3,-32596.9,3,2023-1-1-0-0-0-0-4.16_2023-1-1-7-26-15-820000-34261.73000001907_2023-1-1-16-59-57-530000-8.460000038146973_,0,0,[],30.0
2023-01-02,60.1,-27594.1,2,2023-1-2-3-57-44-340000-34460.65000009537_2023-1-2-13-35-13-740000-7.25_,0,0,[],35.0
2023-01-03,100,-34126.2,0,[],0,0,[],20.0
2023-01-04,52.8,-25514.5,2,2023-1-4-1-36-31-960000-40748.670000076294_2023-1-4-12-57-43-760000-6.230000019073486_,0,0,[],40.0
2023-01-05,81.3,-30491.1,2,2023-1-5-8-45-44-750000-16177.08999967575_2023-1-5-13-17-39-30000-8.959999799728394_,0,0,[],10.0
2023-01-06,79.2,-32361.5,2,2023-1-6-9-10-0-140000-17984.039999961853_2023-1-6-14-11-41-700000-8.289999961853027_,0,0,[],10.0
2023-01-07,49.1,-28414.9,2,2023-1-7-2-55-51-0-43948.99000000954_2023-1-7-15-11-25-710000-9.27999997138977_,0,0,[],75.0
2023-01-08,54.0,-28429.9,2,2023-1-8-3-24-34-210000-39747.770000219345_2023-1-8-14-29-4-130000-9.860000133514404_,0,0,[],45.0
2023-01-09,52.8,-28717.1,2,2023-1-9-3-22-51-370000-40781.62000012398_2023-1-9-14-45-33-560000-13.430000066757202_,0,2,2023-1-9-18-37-1-900000_2023-1-9-18-53-44-700000_,55.0
2023-01-10,51.9,-32279.6,2,2023-1-10-6-28-49-30000-41551.95999979973_2023-1-10-18-4-18-700000-16.289999961853027_,0,0,[],75.0
2023-01-11,59.4,-28843.2,2,2023-1-11-4-35-57-300000-35103.43000006676_2023-1-11-14-23-51-20000-7.9700000286102295_,0,0,[],25.0
2023-01-12,64.6,-30105.3,2,2023-1-12-6-37-25-180000-30581.80999994278_2023-1-12-15-10-9-250000-11.740000247955322_,0,1,2023-1-12-1-40-58-370000_,20.0
2023-01-13,73.9,-28984.0,2,2023-1-13-7-12-52-990000-22574.0_2023-1-13-13-32-16-200000-5.789999961853027_,0,0,[],15.0
2023-01-14,80.4,-32527.4,2,2023-1-14-10-49-38-830000-16891.159999847412_2023-1-14-15-34-7-670000-15.319999933242798_,0,0,[],10.0
2023-01-15,68.5,-28034.9,2,2023-1-15-5-39-29-60000-27179.930000066757_2023-1-15-13-15-27-600000-14.390000104904175_,0,0,[],15.0
2023-01-16,100,-33929.1,0,[],0,1,2023-1-16-9-49-26-220000_,20.0
2023-01-17,90.5,-32349.4,2,2023-1-17-13-3-1-720000-8200.269999980927_2023-1-17-15-22-47-770000-7.2200000286102295_,0,1,2023-1-17-6-56-28-570000_,20.0
2023-01-18,59.4,-31144.6,2,2023-1-18-6-22-15-440000-35039.549999952316_2023-1-18-16-9-14-210000-13.78000020980835_,0,0,[],25.0
2023-01-19,58.8,-29234.5,2,2023-1-19-5-20-42-170000-35588.28000020981_2023-1-19-15-16-11-670000-11.319999933242798_,0,0,[],25.0
2023-01-20,86.1,-31085.5,3,2023-1-20-9-52-10-840000-11983.47000002861_2023-1-20-13-14-40-760000-6.230000019073486_2023-1-20-16-28-36-420000-18.49999976158142_,0,0,[],15.0
2023-01-21,100,-33161.9,0,[],0,3,2023-1-21-4-52-12-600000_2023-1-21-8-48-51-100000_2023-1-21-9-8-22-250000_,20.0
2023-01-22,69.2,-31388.3,2,2023-1-22-7-57-19-350000-26599.739999771118_2023-1-22-15-22-39-290000-8.700000047683716_,0,1,2023-1-22-7-42-25-380000_,15.0
2023-01-23,79.0,-28476.7,2,2023-1-23-8-14-32-250000-18150.740000247955_2023-1-23-13-20-9-30000-9.959999799728394_,0,0,[],15.0
2023-01-24,100,-33996.2,0,[],0,0,[],20.0
2023-01-25,100.0,-31739.1,2,2023-1-25-14-48-46-390000-18.350000143051147_2023-1-25-14-51-34-510000-13.039999723434448_,0,0,[],20.0
