fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-5098.0,1,2023-1-1-0-0-0-0-1.518391_,0,0,[],0.0
2023-01-02,100,-1106.3,0,[],0,0,[],0.0
2023-01-03,100,-2141.3,0,[],0,0,[],0.0
2023-01-04,100,584.1,0,[],0,0,[],0.0
2023-01-05,100,-539.0,0,[],0,0,[],0.0
2023-01-06,100,-1716.2,0,[],0,0,[],5.0
2023-01-07,100,-2310.4,0,[],0,0,[],5.0
2023-01-08,100,99.4,0,[],0,3,2023-1-8-13-28-21-328391_2023-1-8-13-29-25-978391_2023-1-8-13-30-24-278391_,5.0
2023-01-09,100,-1204.1,0,[],0,0,[],5.0
2023-01-10,100,-2036.9,0,[],0,0,[],0.0
2023-01-11,100,-297.6,0,[],0,0,[],0.0
2023-01-12,100,395.0,0,[],0,0,[],0.0
2023-01-13,100,-219.1,0,[],0,0,[],0.0
2023-01-14,100,-501.1,0,[],0,0,[],5.0
2023-01-15,100,-2157.5,0,[],0,0,[],0.0
2023-01-16,100,-1734.4,0,[],0,0,[],5.0
2023-01-17,100,574.8,0,[],0,0,[],10.0
2023-01-18,100,-1154.3,0,[],0,0,[],10.0
2023-01-19,100,-4559.7,0,[],0,0,[],0.0
2023-01-20,100,-95.8,0,[],1,2,2023-1-20-11-31-31-188393_2023-1-20-11-32-25-838393_,5.0
2023-01-21,100,102.8,0,[],0,0,[],5.0
2023-01-22,100,-270.7,0,[],0,0,[],5.0
2023-01-23,100,-4835.9,0,[],0,2,2023-1-23-11-18-41-188391_2023-1-23-11-19-41-688391_,0.0
2023-01-24,100,2463.3,0,[],0,0,[],0.0
2023-01-25,100,-4965.8,0,[],2,0,[],0.0
2023-01-26,100,2512.5,0,[],0,0,[],10.0
2023-01-27,100,-2217.7,0,[],1,1,2023-1-27-4-35-27-688391_,10.0
2023-01-28,100,-2997.5,0,[],0,0,[],0.0
2023-01-29,100,2175.7,0,[],0,0,[],0.0
2023-01-30,100,-1502.4,0,[],1,0,[],5.0
2023-01-31,100,273.1,0,[],0,0,[],0.0
2023-02-01,100,-288.3,0,[],0,0,[],0.0
2023-02-02,100,-3092.7,0,[],0,0,[],0.0
2023-02-03,100,225.2,0,[],0,0,[],0.0
2023-02-04,100,-1470.0,0,[],0,0,[],0.0
2023-02-05,100,-1563.2,0,[],0,0,[],0.0
2023-02-06,100,-844.9,0,[],0,1,2023-2-6-2-12-6-678393_,5.0
2023-02-07,1.3,4984.3,1,2023-2-7-0-18-30-958393-85289.041607_,0,0,[],-9
2023-02-08,0,-9,0,[],0,0,[],-9
2023-02-09,0,-9,0,[],0,0,[],-9
2023-02-10,0,-9,0,[],0,0,[],-9
2023-02-11,0,-9,0,[],0,0,[],-9
2023-02-12,0,-9,0,[],0,0,[],-9
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,0,-9,0,[],0,0,[],-9
2023-02-15,0,-9,0,[],0,0,[],-9
2023-02-16,0,-9,0,[],0,0,[],-9
2023-02-17,0,-9,0,[],0,0,[],-9
2023-02-18,0,-9,0,[],0,0,[],-9
2023-02-19,0,-9,0,[],0,0,[],-9
2023-02-20,0,-9,0,[],0,0,[],-9
2023-02-21,0,-9,0,[],0,0,[],-9
2023-02-22,0,-9,0,[],0,0,[],-9
2023-02-23,0,-9,0,[],0,0,[],-9
2023-02-24,0,-9,0,[],0,0,[],-9
2023-02-25,0,-9,0,[],0,0,[],-9
2023-02-26,0,-9,0,[],0,0,[],-9
2023-02-27,0,-9,0,[],0,0,[],-9
2023-02-28,0,-9,0,[],0,0,[],-9
2023-03-01,0,-9,0,[],0,0,[],-9
2023-03-02,0,-9,0,[],0,0,[],-9
2023-03-03,0,-9,0,[],0,0,[],-9
2023-03-04,0,-9,0,[],0,0,[],-9
2023-03-05,0,-9,0,[],0,0,[],-9
2023-03-06,0,-9,0,[],0,0,[],-9
2023-03-07,0,-9,0,[],0,0,[],-9
2023-03-08,0,-9,0,[],0,0,[],-9
2023-03-09,0,-9,0,[],0,0,[],-9
2023-03-10,0,-9,0,[],0,0,[],-9
2023-03-11,0,-9,0,[],0,0,[],-9
2023-03-12,0,-9,0,[],0,0,[],-9
2023-03-13,0,-9,0,[],0,0,[],-9
2023-03-14,0,-9,0,[],0,0,[],-9
2023-03-15,0,-9,0,[],0,0,[],-9
2023-03-16,0,-9,0,[],0,0,[],-9
2023-03-17,0,-9,0,[],0,0,[],-9
2023-03-18,0,-9,0,[],0,0,[],-9
2023-03-19,0,-9,0,[],0,0,[],-9
2023-03-20,0,-9,0,[],0,0,[],-9
2023-03-21,0,-9,0,[],0,0,[],-9
2023-03-22,0,-9,0,[],0,0,[],-9
2023-03-23,0,-9,0,[],0,0,[],-9
2023-03-24,0,-9,0,[],0,0,[],-9
2023-03-25,0,-9,0,[],0,0,[],-9
2023-03-26,0,-9,0,[],0,0,[],-9
2023-03-27,0,-9,0,[],0,0,[],-9
2023-03-28,0,-9,0,[],0,0,[],-9
2023-03-29,0,-9,0,[],0,0,[],-9
