fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,27.3,1440.6,3,2023-1-1-0-0-0-0-50221.984538_2023-1-1-20-29-39-979538-12620.020462_2023-1-1-14-9-17-979538-2.0_,0,1,2023-1-1-13-57-3-134538_,30.0
2023-01-02,0,-9,0,[],0,0,[],-9
2023-01-03,27.8,2003.3,2,2023-1-3-0-0-0-0-52645.984538_2023-1-3-21-17-48-979538-9731.020462_,0,1,2023-1-3-14-37-27-784538_,30.0
2023-01-04,29.5,2091.8,3,2023-1-4-0-0-0-0-46445.984538_2023-1-4-19-58-38-979538-14481.020462_2023-1-4-13-6-48-979538-1.0_,0,3,2023-1-4-12-54-7-84538_2023-1-4-19-39-55-484538_2023-1-4-19-50-23-784538_,30.0
2023-01-05,26.0,2242.3,4,2023-1-5-0-0-0-0-45515.984538_2023-1-5-19-58-40-979538-14479.020462_2023-1-5-17-30-16-979538-3904.0_2023-1-5-18-47-15-979538-2.0_,0,2,2023-1-5-12-38-37-634538_2023-1-5-18-35-21-984538_,30.0
2023-01-06,43.8,2003.0,1,2023-1-6-0-0-0-0-48537.984538_,0,1,2023-1-6-13-28-59-834538_,30.0
2023-01-07,100,1095.8,0,[],0,0,[],30.0
2023-01-08,100,819.9,0,[],0,1,2023-1-8-13-22-40-804539_,30.0
2023-01-09,100,788.6,0,[],0,2,2023-1-9-18-52-58-339538_2023-1-9-18-54-9-339538_,30.0
2023-01-10,100,803.8,0,[],0,0,[],30.0
2023-01-11,100,817.6,0,[],0,0,[],30.0
2023-01-12,100,841.1,0,[],0,1,2023-1-12-22-22-35-374538_,30.0
2023-01-13,100,855.6,0,[],0,1,2023-1-13-2-27-30-859538_,30.0
2023-01-14,100,855.5,0,[],0,0,[],30.0
2023-01-15,10.9,1297.5,4,2023-1-15-14-12-54-979538-35225.020462_2023-1-15-1-41-43-979538-41598.0_2023-1-15-13-27-17-979538-1.0_2023-1-15-14-5-13-979538-181.0_,0,1,2023-1-15-13-15-3-84538_,50.0
2023-01-16,0,-9,0,[],0,0,[],-9
2023-01-17,0,-9,0,[],0,0,[],-9
2023-01-18,0,-9,0,[],0,0,[],-9
2023-01-19,0,-9,0,[],0,0,[],-9
2023-01-20,0,-9,0,[],0,0,[],-9
2023-01-21,0,-9,0,[],0,0,[],-9
2023-01-22,0,-9,0,[],0,0,[],-9
2023-01-23,0,-9,0,[],0,0,[],-9
2023-01-24,0,-9,0,[],0,0,[],-9
2023-01-25,0,-9,0,[],0,0,[],-9
2023-01-26,0,-9,0,[],0,0,[],-9
2023-01-27,0,-9,0,[],0,0,[],-9
2023-01-28,0,-9,0,[],0,0,[],-9
2023-01-29,0,-9,0,[],0,0,[],-9
2023-01-30,0,-9,0,[],0,0,[],-9
2023-01-31,0,-9,0,[],0,0,[],-9
2023-02-01,0,-9,0,[],0,0,[],-9
2023-02-02,0,-9,0,[],0,0,[],-9
2023-02-03,0,-9,0,[],0,0,[],-9
2023-02-04,0,-9,0,[],0,0,[],-9
2023-02-05,0,-9,0,[],0,0,[],-9
2023-02-06,0,-9,0,[],0,0,[],-9
2023-02-07,0,-9,0,[],0,0,[],-9
2023-02-08,0,-9,0,[],0,0,[],-9
2023-02-09,0,-9,0,[],0,0,[],-9
2023-02-10,0,-9,0,[],0,0,[],-9
2023-02-11,0,-9,0,[],0,0,[],-9
2023-02-12,0,-9,0,[],0,0,[],-9
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,0,-9,0,[],0,0,[],-9
2023-02-15,0,-9,0,[],0,0,[],-9
2023-02-16,0,-9,0,[],0,0,[],-9
2023-02-17,0,-9,0,[],0,0,[],-9
2023-02-18,0,-9,0,[],0,0,[],-9
2023-02-19,0,-9,0,[],0,0,[],-9
2023-02-20,0,-9,0,[],0,0,[],-9
2023-02-21,0,-9,0,[],0,0,[],-9
2023-02-22,0,-9,0,[],0,0,[],-9
2023-02-23,0,-9,0,[],0,0,[],-9
2023-02-24,0,-9,0,[],0,0,[],-9
2023-02-25,0,-9,0,[],0,0,[],-9
2023-02-26,0,-9,0,[],0,0,[],-9
2023-02-27,0,-9,0,[],0,0,[],-9
2023-02-28,0,-9,0,[],0,0,[],-9
2023-03-01,0,-9,0,[],0,0,[],-9
2023-03-02,0,-9,0,[],0,0,[],-9
2023-03-03,0,-9,0,[],0,0,[],-9
2023-03-04,0,-9,0,[],0,0,[],-9
2023-03-05,0,-9,0,[],0,0,[],-9
2023-03-06,0,-9,0,[],0,0,[],-9
2023-03-07,0,-9,0,[],0,0,[],-9
2023-03-08,0,-9,0,[],0,0,[],-9
2023-03-09,0,-9,0,[],0,0,[],-9
2023-03-10,0,-9,0,[],0,0,[],-9
2023-03-11,0,-9,0,[],0,0,[],-9
2023-03-12,0,-9,0,[],0,0,[],-9
2023-03-13,0,-9,0,[],0,0,[],-9
2023-03-14,0,-9,0,[],0,0,[],-9
2023-03-15,0,-9,0,[],0,0,[],-9
2023-03-16,0,-9,0,[],0,0,[],-9
2023-03-17,0,-9,0,[],0,0,[],-9
2023-03-18,0,-9,0,[],0,0,[],-9
2023-03-19,0,-9,0,[],0,0,[],-9
2023-03-20,0,-9,0,[],0,0,[],-9
2023-03-21,0,-9,0,[],0,0,[],-9
2023-03-22,0,-9,0,[],0,0,[],-9
2023-03-23,0,-9,0,[],0,0,[],-9
2023-03-24,0,-9,0,[],0,0,[],-9
2023-03-25,0,-9,0,[],0,0,[],-9
