fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,99.9,-3.5,34,2023-1-1-0-0-0-0-0.67_2023-1-1-0-19-6-995000-1.999999761581421_2023-1-1-2-9-28-995000-1.999999761581421_2023-1-1-4-10-14-995000-1.999999761581421_2023-1-1-4-30-46-995000-1.999999761581421_2023-1-1-4-38-42-995000-1.999999761581421_2023-1-1-5-58-42-995000-1.999999761581421_2023-1-1-6-10-14-995000-1.999999761581421_2023-1-1-6-18-42-995000-1.999999761581421_2023-1-1-9-49-41-995000-1.999999761581421_2023-1-1-10-9-41-995000-1.999999761581421_2023-1-1-11-30-14-995000-1.999999761581421_2023-1-1-15-3-32-995000-1.999999761581421_2023-1-1-16-32-4-995000-1.999999761581421_2023-1-1-16-38-2-995000-1.999999761581421_2023-1-1-16-48-56-995000-1.999999761581421_2023-1-1-17-22-24-995000-1.999999761581421_2023-1-1-17-37-20-995000-1.999999761581421_2023-1-1-18-21-18-995000-1.999999761581421_2023-1-1-18-35-10-995000-1.999999761581421_2023-1-1-19-25-22-995000-1.999999761581421_2023-1-1-20-2-10-995000-1.999999761581421_2023-1-1-20-19-0-995000-1.999999761581421_2023-1-1-20-59-0-995000-1.999999761581421_2023-1-1-21-10-42-995000-1.999999761581421_2023-1-1-21-35-16-995000-1.999999761581421_2023-1-1-21-41-22-995000-1.999999761581421_2023-1-1-21-49-40-995000-1.999999761581421_2023-1-1-22-6-12-995000-1.999999761581421_2023-1-1-22-18-58-995000-1.999999761581421_2023-1-1-22-45-53-995000-1.999999761581421_2023-1-1-23-39-10-995000-1.999999761581421_2023-1-1-23-42-38-995000-1.999999761581421_2023-1-1-23-58-45-995000-1.999999761581421_,0,0,[],60.0
2023-01-02,100.0,-3.0,12,2023-1-2-0-18-44-995000-1.999999761581421_2023-1-2-0-24-54-995000-1.999999761581421_2023-1-2-0-37-10-995000-1.999999761581421_2023-1-2-1-49-42-995000-1.999999761581421_2023-1-2-3-29-9-995000-1.999999761581421_2023-1-2-15-13-14-995000-1.999999761581421_2023-1-2-15-13-57-995000-3.999999761581421_2023-1-2-15-14-13-995000-1.999999761581421_2023-1-2-15-14-29-995000-1.999999761581421_2023-1-2-15-14-45-995000-1.999999761581421_2023-1-2-15-15-57-995000-1.999999761581421_2023-1-2-15-16-1-995000-1.999999761581421_,0,0,[],45.0
2023-01-03,100.0,-3.2,5,2023-1-3-4-2-8-995000-4.999999761581421_2023-1-3-4-32-13-995000-4.999999761581421_2023-1-3-18-10-7-995000-1.999999761581421_2023-1-3-18-17-18-995000-1.999999761581421_2023-1-3-18-29-35-995000-1.999999761581421_,0,2,2023-1-3-4-36-59-500000_2023-1-3-8-16-7-650000_,45.0
2023-01-04,99.8,-3.0,63,2023-1-4-0-39-26-995000-1.999999761581421_2023-1-4-0-41-22-995000-1.999999761581421_2023-1-4-3-53-12-995000-1.999999761581421_2023-1-4-13-38-50-995000-1.999999761581421_2023-1-4-13-40-26-995000-1.999999761581421_2023-1-4-13-41-58-995000-1.999999761581421_2023-1-4-13-42-2-995000-0.9999997615814209_2023-1-4-13-42-17-995000-1.999999761581421_2023-1-4-13-42-33-995000-1.999999761581421_2023-1-4-13-42-49-995000-1.999999761581421_2023-1-4-13-43-5-995000-1.999999761581421_2023-1-4-13-43-21-995000-1.999999761581421_2023-1-4-13-43-37-995000-1.999999761581421_2023-1-4-13-43-53-995000-1.999999761581421_2023-1-4-13-44-9-995000-1.999999761581421_2023-1-4-13-44-25-995000-1.999999761581421_2023-1-4-13-44-57-995000-1.999999761581421_2023-1-4-13-45-13-995000-1.999999761581421_2023-1-4-13-45-29-995000-1.999999761581421_2023-1-4-13-45-45-995000-1.999999761581421_2023-1-4-13-46-1-995000-3.999999761581421_2023-1-4-13-46-17-995000-1.999999761581421_2023-1-4-13-46-33-995000-1.999999761581421_2023-1-4-13-49-14-995000-1.999999761581421_2023-1-4-13-49-29-995000-1.999999761581421_2023-1-4-13-49-45-995000-1.999999761581421_2023-1-4-13-49-49-995000-1.999999761581421_2023-1-4-13-50-1-995000-1.999999761581421_2023-1-4-13-50-17-995000-1.999999761581421_2023-1-4-13-50-33-995000-1.999999761581421_2023-1-4-13-50-49-995000-1.999999761581421_2023-1-4-13-51-5-995000-1.999999761581421_2023-1-4-13-54-1-995000-1.999999761581421_2023-1-4-13-54-17-995000-1.999999761581421_2023-1-4-13-54-33-995000-1.999999761581421_2023-1-4-13-54-49-995000-1.999999761581421_2023-1-4-13-55-5-995000-1.999999761581421_2023-1-4-13-55-21-995000-1.999999761581421_2023-1-4-13-55-37-995000-1.999999761581421_2023-1-4-13-55-53-995000-1.999999761581421_2023-1-4-13-56-3-995000-7.999999761581421_2023-1-4-13-56-25-995000-1.999999761581421_2023-1-4-13-56-41-995000-1.999999761581421_2023-1-4-13-56-57-995000-1.999999761581421_2023-1-4-13-57-13-995000-1.999999761581421_2023-1-4-13-57-29-995000-1.999999761581421_2023-1-4-13-57-45-995000-1.999999761581421_2023-1-4-13-58-1-995000-1.999999761581421_2023-1-4-13-58-17-995000-1.999999761581421_2023-1-4-13-58-33-995000-1.999999761581421_2023-1-4-13-58-49-995000-1.999999761581421_2023-1-4-13-59-51-995000-1.999999761581421_2023-1-4-13-59-55-995000-1.999999761581421_2023-1-4-14-0-11-995000-1.999999761581421_2023-1-4-14-1-48-995000-1.999999761581421_2023-1-4-16-0-13-995000-1.999999761581421_2023-1-4-17-8-40-995000-1.999999761581421_2023-1-4-17-29-8-995000-1.999999761581421_2023-1-4-18-9-4-995000-1.999999761581421_2023-1-4-18-29-28-995000-1.999999761581421_2023-1-4-21-29-41-995000-3.999999761581421_2023-1-4-23-48-56-995000-1.999999761581421_2023-1-4-23-59-34-995000-1.999999761581421_,0,0,[],55.0
2023-01-05,99.9,-2.2,18,2023-1-5-0-23-19-995000-1.999999761581421_2023-1-5-1-12-20-995000-1.999999761581421_2023-1-5-2-3-45-995000-4.999999761581421_2023-1-5-2-55-47-995000-1.999999761581421_2023-1-5-3-17-57-995000-0.9999997615814209_2023-1-5-3-32-16-995000-4.999999761581421_2023-1-5-3-40-17-995000-4.999999761581421_2023-1-5-3-58-25-995000-4.999999761581421_2023-1-5-7-44-15-995000-4.999999761581421_2023-1-5-15-7-48-995000-1.999999761581421_2023-1-5-15-8-36-995000-1.999999761581421_2023-1-5-15-31-59-995000-1.999999761581421_2023-1-5-15-49-35-995000-1.999999761581421_2023-1-5-16-14-27-995000-1.999999761581421_2023-1-5-18-19-9-995000-1.999999761581421_2023-1-5-18-31-9-995000-1.999999761581421_2023-1-5-18-58-49-995000-1.999999761581421_2023-1-5-20-26-31-995000-1.999999761581421_,0,2,2023-1-5-8-36-32-250000_2023-1-5-8-46-14-850000_,50.0
2023-01-06,0,-9,9,[],9,9,[],-9
2023-01-07,99.9,-2.9,32,2023-1-7-0-9-14-995000-1.999999761581421_2023-1-7-4-36-53-995000-4.999999761581421_2023-1-7-10-51-2-995000-4.999999761581421_2023-1-7-12-49-12-995000-1.999999761581421_2023-1-7-13-40-25-995000-1.999999761581421_2023-1-7-13-48-53-995000-1.999999761581421_2023-1-7-14-39-47-995000-1.999999761581421_2023-1-7-14-41-23-995000-1.999999761581421_2023-1-7-14-43-16-995000-1.999999761581421_2023-1-7-14-46-12-995000-1.999999761581421_2023-1-7-15-59-30-995000-1.999999761581421_2023-1-7-20-21-28-995000-1.999999761581421_2023-1-7-21-17-52-995000-1.999999761581421_2023-1-7-23-38-25-995000-5.999999761581421_2023-1-7-23-38-37-995000-1.999999761581421_2023-1-7-23-38-47-995000-1.999999761581421_2023-1-7-23-39-3-995000-1.999999761581421_2023-1-7-23-39-35-995000-1.999999761581421_2023-1-7-23-39-51-995000-1.999999761581421_2023-1-7-23-40-7-995000-1.999999761581421_2023-1-7-23-40-39-995000-1.999999761581421_2023-1-7-23-40-55-995000-1.999999761581421_2023-1-7-23-41-11-995000-1.999999761581421_2023-1-7-23-43-51-995000-1.999999761581421_2023-1-7-23-44-23-995000-1.999999761581421_2023-1-7-23-44-39-995000-1.999999761581421_2023-1-7-23-44-55-995000-1.999999761581421_2023-1-7-23-45-11-995000-1.999999761581421_2023-1-7-23-45-27-995000-1.999999761581421_2023-1-7-23-45-43-995000-1.999999761581421_2023-1-7-23-45-59-995000-1.999999761581421_2023-1-7-23-46-7-995000-1.999999761581421_,0,2,2023-1-7-5-37-26-500000_2023-1-7-9-57-37-500000_,50.0
2023-01-08,0,-9,9,[],9,9,[],-9
2023-01-09,0,-9,9,[],9,9,[],-9
2023-01-10,0,-9,9,[],9,9,[],-9
