fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-10-25,24.0,10481.7,5,2023-10-25-0-0-0-0-65023.12_2023-10-25-20-17-0-645000-6.180000066757202_2023-10-25-20-22-12-565000-5.9700000286102295_2023-10-25-22-15-7-75000-310.5699996948242_2023-10-25-23-10-6-515000-312.5699996948242_,0,0,[],40.0
2023-10-26,99.6,10959.6,2,2023-10-26-0-0-0-0-1.24_2023-10-26-15-55-7-805000-310.8600001335144_,0,0,[],30.0
2023-10-27,99.6,11043.4,1,2023-10-27-14-54-32-885000-309.49000000953674_,0,0,[],30.0
2023-10-28,100,11171.4,0,[],0,1,2023-10-28-4-42-20-910000_,30.0
2023-10-29,100,11122.9,0,[],0,2,2023-10-29-13-55-46-455000_2023-10-29-23-23-33-555000_,30.0
2023-10-30,100.0,11034.2,1,2023-10-30-0-0-0-0-1.095_,0,5,2023-10-30-2-14-36-445000_2023-10-30-9-38-37-345000_2023-10-30-11-20-1-845000_2023-10-30-11-44-46-195000_2023-10-30-16-1-17-945000_,30.0
2023-10-31,100,11134.8,0,[],0,3,2023-10-31-5-48-57-165000_2023-10-31-11-28-51-515000_2023-10-31-20-52-7-65000_,30.0
2023-11-01,100,11063.7,0,[],0,4,2023-11-1-11-39-41-845000_2023-11-1-16-2-27-445000_2023-11-1-22-26-22-195000_2023-11-1-22-29-0-695000_,30.0
2023-11-02,99.6,11135.9,2,2023-11-2-0-0-0-0-1.745_2023-11-2-20-16-36-200000-380.69999980926514_,0,1,2023-11-2-19-15-14-995000_,30.0
2023-11-03,99.6,11093.5,2,2023-11-3-18-15-2-930000-311.00999999046326_2023-11-3-22-50-28-90000-23.25_,0,2,2023-11-3-3-25-40-725000_2023-11-3-9-37-31-525000_,30.0
2023-11-04,100.0,11031.5,1,2023-11-4-1-9-2-40000-16.479999780654907_,0,2,2023-11-4-5-25-34-675000_2023-11-4-15-57-48-475000_,30.0
2023-11-05,100,11026.9,0,[],0,2,2023-11-5-2-36-7-154999_2023-11-5-3-1-29-554999_,30.0
2023-11-06,99.4,11086.6,2,2023-11-6-4-19-42-250000-289.8900001049042_2023-11-6-14-27-34-285000-249.52999997138977_,0,2,2023-11-6-19-48-2-970000_2023-11-6-23-46-19-820000_,30.0
2023-11-07,100.0,11063.3,4,2023-11-7-0-0-0-0-1.87_2023-11-7-17-46-39-885000-6.180000066757202_2023-11-7-18-5-41-745000-6.179999828338623_2023-11-7-18-34-34-65000-6.179999828338623_,0,6,2023-11-7-12-12-54-720000_2023-11-7-17-1-5-820000_2023-11-7-18-51-7-900000_2023-11-7-20-55-24-450000_2023-11-7-22-4-59-400000_2023-11-7-22-59-41-800000_,30.0
2023-11-08,99.9,11046.6,5,2023-11-8-15-48-3-645000-4.119999885559082_2023-11-8-16-18-27-245000-13.069999933242798_2023-11-8-17-3-59-125000-8.239999771118164_2023-11-8-17-12-35-45000-14.420000076293945_2023-11-8-17-18-33-425000-6.080000162124634_,0,1,2023-11-8-9-56-34-630000_,30.0
2023-11-09,99.9,11068.8,7,2023-11-9-14-49-46-125000-6.180000066757202_2023-11-9-15-4-4-825000-8.240000009536743_2023-11-9-15-31-5-765000-5.990000009536743_2023-11-9-22-31-26-415000-8.240000009536743_2023-11-9-22-38-11-795000-18.53999972343445_2023-11-9-22-46-48-805000-4.119999885559082_2023-11-9-22-49-6-825000-4.119999885559082_,0,1,2023-11-9-11-38-59-950000_,30.0
2023-11-10,99.9,11079.6,8,2023-11-10-13-53-34-815000-3.9700000286102295_2023-11-10-15-32-16-365000-10.299999952316284_2023-11-10-15-38-40-185000-6.1800007820129395_2023-11-10-15-59-13-605001-14.419999122619629_2023-11-10-20-18-59-960000-7.879999876022339_2023-11-10-20-22-13-610000-9.059999942779541_2023-11-10-20-27-11-670000-5.529999732971191_2023-11-10-20-30-2-640000-2.059999704360962_,0,2,2023-11-10-2-19-57-170000_2023-11-10-7-48-6-570000_,30.0
2023-11-11,100,11128.7,0,[],0,4,2023-11-11-3-25-22-325000_2023-11-11-6-40-17-375000_2023-11-11-18-23-43-275000_2023-11-11-21-27-19-975000_,30.0
2023-11-12,99.5,11102.0,2,2023-11-12-19-36-0-140000-393.5699999332428_2023-11-12-23-36-40-940000-10.299999713897705_,0,2,2023-11-12-9-41-54-5000_2023-11-12-21-44-11-915000_,30.0
2023-11-13,99.6,11123.6,1,2023-11-13-1-35-52-240000-387.14999985694885_,0,2,2023-11-13-0-17-13-495000_2023-11-13-16-6-43-395000_,30.0
2023-11-14,95.5,11164.6,1,2023-11-14-11-5-55-320000-3856.5899999141693_,0,1,2023-11-14-20-52-57-415000_,30.0
2023-11-15,100.0,11197.7,1,2023-11-15-4-10-23-730000-10.300000190734863_,0,5,2023-11-15-13-56-54-935000_2023-11-15-14-24-0-235000_2023-11-15-18-31-9-35000_2023-11-15-22-25-12-85000_2023-11-15-22-37-10-35000_,30.0
2023-11-16,99.6,11202.9,2,2023-11-16-16-17-19-370000-319.2000000476837_2023-11-16-17-39-43-910000-12.359999895095825_,0,2,2023-11-16-11-27-50-275000_2023-11-16-11-29-28-775000_,30.0
2023-11-17,99.7,11305.6,4,2023-11-17-0-0-0-0-0.715_2023-11-17-18-25-51-740000-251.47000002861023_2023-11-17-22-41-37-640000-2.059999704360962_2023-11-17-22-44-28-190000-6.179999828338623_,0,1,2023-11-17-12-31-10-165000_,30.0
2023-11-18,100,11351.9,0,[],0,3,2023-11-18-11-48-7-485000_2023-11-18-13-14-11-85000_2023-11-18-23-35-35-835000_,30.0
2023-11-19,100,11361.6,0,[],0,2,2023-11-19-20-15-42-125000_2023-11-19-22-12-20-75000_,30.0
2023-11-20,99.6,11455.6,2,2023-11-20-0-0-0-0-0.745_2023-11-20-17-12-53-300000-310.8399999141693_,0,0,[],30.0
2023-11-21,100.0,11455.7,1,2023-11-21-0-0-0-0-0.785_,0,1,2023-11-21-20-55-20-385000_,30.0
2023-11-22,100,11412.8,0,[],0,1,2023-11-22-18-36-16-715000_,30.0
2023-11-23,100.0,11452.9,2,2023-11-23-22-45-46-435000-4.119999647140503_2023-11-23-22-50-38-955000-6.179999828338623_,0,1,2023-11-23-10-44-21-450000_,30.0
2023-11-24,100.0,11613.8,1,2023-11-24-0-0-0-0-0.33_,0,1,2023-11-24-21-30-5-780000_,30.0
