fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-25386.2,1,2023-1-1-0-0-0-0-0.129538_,0,0,[],40.0
2023-01-02,100,-25408.4,0,[],0,0,[],40.0
2023-01-03,100,-25869.7,0,[],0,2,2023-1-3-23-3-44-94538_2023-1-3-23-4-34-94538_,40.0
2023-01-04,100,-25617.4,0,[],0,0,[],40.0
2023-01-05,100,-25621.5,0,[],0,0,[],40.0
2023-01-06,100,-25622.0,0,[],0,0,[],40.0
2023-01-07,100,-25602.3,0,[],0,0,[],40.0
2023-01-08,100,-25585.6,0,[],0,0,[],40.0
2023-01-09,100,-25587.4,0,[],0,1,2023-1-9-15-37-49-754538_,40.0
2023-01-10,100,-25604.9,0,[],0,0,[],40.0
2023-01-11,100,-25591.2,0,[],0,0,[],40.0
2023-01-12,100,-25571.1,0,[],0,0,[],40.0
2023-01-13,100,-25995.5,0,[],0,2,2023-1-13-23-50-29-64538_2023-1-13-23-51-19-64538_,40.0
2023-01-14,100,-544.4,0,[],0,2,2023-1-14-0-23-24-429538_2023-1-14-0-24-14-479538_,40.0
2023-01-15,100,648.6,0,[],0,0,[],40.0
2023-01-16,100,-21919.2,0,[],0,3,2023-1-16-3-57-31-724538_2023-1-16-3-58-21-924538_2023-1-16-4-4-59-324538_,40.0
2023-01-17,100,-25828.1,0,[],0,0,[],40.0
2023-01-18,100,-25825.3,0,[],0,0,[],40.0
2023-01-19,100,-25831.0,0,[],0,0,[],40.0
2023-01-20,100,-25834.6,0,[],1,0,[],40.0
2023-01-21,100,-25849.7,0,[],0,0,[],40.0
2023-01-22,100,-25862.3,0,[],0,0,[],40.0
2023-01-23,100,-25867.7,0,[],0,0,[],40.0
2023-01-24,100,-25869.0,0,[],0,0,[],40.0
2023-01-25,100,-25892.5,0,[],2,0,[],40.0
2023-01-26,100,-25925.5,0,[],0,0,[],40.0
2023-01-27,100,-25981.1,0,[],1,0,[],40.0
2023-01-28,100,-26012.8,0,[],0,0,[],40.0
2023-01-29,100,-26016.8,0,[],0,0,[],40.0
2023-01-30,100,-26025.4,0,[],1,0,[],40.0
2023-01-31,100,-26461.5,0,[],0,7,2023-1-31-3-56-5-184538_2023-1-31-3-56-55-234538_2023-1-31-4-0-2-484538_2023-1-31-4-0-52-834538_2023-1-31-4-1-43-734538_2023-1-31-4-2-34-384538_2023-1-31-4-3-24-484538_,40.0
2023-02-01,100,-26036.8,0,[],0,0,[],40.0
2023-02-02,100,-26040.9,0,[],0,0,[],40.0
2023-02-03,100,-26027.8,0,[],0,0,[],40.0
2023-02-04,100,-26029.4,0,[],0,0,[],40.0
2023-02-05,100,-26052.1,0,[],0,0,[],40.0
2023-02-06,100,-26070.6,0,[],0,0,[],40.0
2023-02-07,100,-26102.7,0,[],1,1,2023-2-7-21-32-50-34538_,40.0
2023-02-08,100,-26111.8,0,[],0,0,[],40.0
2023-02-09,100,-26127.6,0,[],0,0,[],40.0
2023-02-10,100,-26142.7,0,[],0,0,[],40.0
2023-02-11,100,-26168.8,0,[],0,0,[],40.0
2023-02-12,100,-26167.4,0,[],0,0,[],40.0
2023-02-13,100,-26177.3,0,[],0,0,[],40.0
2023-02-14,100,-26185.3,0,[],1,0,[],40.0
2023-02-15,100,-26216.7,0,[],2,1,2023-2-15-20-9-43-534539_,40.0
2023-02-16,100,-26218.9,0,[],1,0,[],40.0
2023-02-17,100,-26236.5,0,[],0,0,[],40.0
2023-02-18,100,-26260.1,0,[],1,0,[],40.0
2023-02-19,100,-26266.8,0,[],1,0,[],40.0
2023-02-20,100,-26267.3,0,[],1,0,[],40.0
2023-02-21,100,-26276.0,0,[],0,0,[],40.0
2023-02-22,100,-26288.5,0,[],0,0,[],40.0
2023-02-23,100,-26286.7,0,[],0,0,[],40.0
2023-02-24,100,-26302.8,0,[],0,0,[],40.0
2023-02-25,100,-26302.9,0,[],1,0,[],40.0
2023-02-26,100,-26324.2,0,[],1,0,[],40.0
2023-02-27,100,-26342.6,0,[],0,0,[],40.0
2023-02-28,100,-26357.2,0,[],0,0,[],40.0
2023-03-01,100,-26366.8,0,[],1,0,[],40.0
2023-03-02,100,-26397.5,0,[],1,0,[],40.0
2023-03-03,100,-26441.4,0,[],0,0,[],40.0
2023-03-04,100,-26451.0,0,[],0,0,[],40.0
2023-03-05,100,-26448.4,0,[],0,1,2023-3-5-15-45-10-969538_,40.0
2023-03-06,100,-26455.6,0,[],0,0,[],40.0
2023-03-07,100,-26494.9,0,[],0,1,2023-3-7-4-0-12-179538_,40.0
2023-03-08,100,-26480.2,0,[],0,0,[],40.0
2023-03-09,100,-26437.7,0,[],0,0,[],40.0
2023-03-10,100,-26442.3,0,[],0,3,2023-3-10-9-19-38-124538_2023-3-10-9-20-28-474538_2023-3-10-20-48-3-974538_,40.0
2023-03-11,100,-26447.3,0,[],0,1,2023-3-11-21-12-28-99538_,40.0
2023-03-12,100,-26443.6,0,[],0,0,[],40.0
2023-03-13,100,-26451.5,0,[],0,0,[],40.0
2023-03-14,100,-26495.2,0,[],0,0,[],40.0
2023-03-15,100,-26507.8,0,[],0,1,2023-3-15-11-31-38-549538_,40.0
2023-03-16,100,-26527.7,0,[],0,1,2023-3-16-14-4-26-609538_,40.0
2023-03-17,100,-26537.2,0,[],0,0,[],40.0
2023-03-18,100,-26553.6,0,[],0,0,[],40.0
2023-03-19,100,-26558.5,0,[],0,0,[],40.0
2023-03-20,100,-26559.6,0,[],0,0,[],40.0
2023-03-21,100,-26577.5,0,[],0,0,[],40.0
2023-03-22,100,-26585.8,0,[],0,0,[],40.0
2023-03-23,100,-27044.3,0,[],0,2,2023-3-23-23-43-4-764536_2023-3-23-23-43-54-764536_,40.0
2023-03-24,100,-26675.4,0,[],0,0,[],40.0
2023-03-25,100,-26711.5,0,[],0,0,[],40.0
2023-03-26,100,-26715.9,0,[],0,1,2023-3-26-18-14-49-94538_,40.0
2023-03-27,100,-26717.6,0,[],1,0,[],40.0
2023-03-28,100,-21478.4,0,[],2,2,2023-3-28-18-44-22-284538_2023-3-28-18-45-12-284538_,40.0
2023-03-29,100,-259.0,0,[],1,0,[],40.0
2023-03-30,100,-311.7,0,[],2,0,[],40.0
2023-03-31,100,-330.0,0,[],0,0,[],40.0
2023-04-01,100,-372.1,0,[],0,0,[],40.0
2023-04-02,100,-395.7,0,[],0,0,[],40.0
2023-04-03,100,-409.8,0,[],0,0,[],40.0
2023-04-04,100,-16134.5,0,[],0,2,2023-4-4-10-10-54-654538_2023-4-4-10-11-44-654538_,40.0
2023-04-05,100,-27371.6,0,[],2,2,2023-4-5-22-38-54-784539_2023-4-5-22-39-44-784539_,40.0
2023-04-06,98.8,-26936.3,3,2023-4-6-6-45-31-979538-509.00000071525574_2023-4-6-7-48-13-979539-523.9999990463257_2023-4-6-8-2-7-979538-35.0_,0,0,[],40.0
2023-04-07,100,-26951.8,0,[],0,0,[],40.0
2023-04-08,100,-26954.8,0,[],0,0,[],40.0
2023-04-09,100,-26960.2,0,[],0,0,[],40.0
2023-04-10,100,-26920.3,0,[],0,0,[],40.0
2023-04-11,100,-26961.5,0,[],0,0,[],40.0
2023-04-12,100,-27448.5,0,[],0,2,2023-4-12-22-27-48-134538_2023-4-12-22-28-38-184538_,40.0
2023-04-13,100,-40931.1,0,[],0,6,2023-4-13-0-18-38-499538_2023-4-13-0-19-28-499538_2023-4-13-0-46-41-199538_2023-4-13-0-47-31-199538_2023-4-13-1-3-2-399538_2023-4-13-1-3-52-399538_,40.0
2023-04-14,100,-40150.5,0,[],0,0,[],40.0
2023-04-15,100,-40147.6,0,[],0,0,[],40.0
2023-04-16,100,-40141.0,0,[],0,0,[],40.0
2023-04-17,100,-40138.2,0,[],3,0,[],40.0
2023-04-18,100,-40141.7,0,[],0,0,[],40.0
2023-04-19,100,-40157.3,0,[],3,0,[],40.0
2023-04-20,100,-31631.4,0,[],0,4,2023-4-20-6-58-56-764538_2023-4-20-6-59-46-814538_2023-4-20-7-20-11-764538_2023-4-20-7-21-1-764538_,45.0
2023-04-21,100,-26966.4,0,[],0,0,[],40.0
2023-04-22,100,-27005.1,0,[],0,0,[],40.0
2023-04-23,100,-27038.5,0,[],0,0,[],40.0
2023-04-24,100,-27059.9,0,[],0,0,[],40.0
2023-04-25,100,-27099.6,0,[],0,0,[],40.0
2023-04-26,100,-27115.7,0,[],1,0,[],40.0
2023-04-27,100,-27152.6,0,[],2,0,[],40.0
2023-04-28,100,-27176.2,0,[],0,0,[],40.0
2023-04-29,100,-27204.0,0,[],0,0,[],40.0
2023-04-30,100,-27223.0,0,[],0,2,2023-4-30-13-34-11-404538_2023-4-30-13-54-49-204538_,40.0
2023-05-01,100,-27254.9,0,[],0,1,2023-5-1-15-4-11-534538_,40.0
2023-05-02,100,-27309.1,0,[],0,0,[],40.0
2023-05-03,100,-27327.1,0,[],0,0,[],40.0
2023-05-04,100,-27332.1,0,[],0,0,[],40.0
2023-05-05,100,-30391.0,0,[],0,6,2023-5-5-20-36-46-269539_2023-5-5-20-50-24-969539_2023-5-5-21-9-50-369539_2023-5-5-21-58-13-269539_2023-5-5-22-16-14-519539_2023-5-5-22-17-4-519539_,50.0
2023-05-06,100,-41254.6,0,[],0,4,2023-5-6-22-13-34-179538_2023-5-6-22-45-15-629538_2023-5-6-23-31-38-629538_2023-5-6-23-42-16-579538_,45.0
2023-05-07,100,-27250.9,0,[],0,0,[],40.0
2023-05-08,100,-27259.0,0,[],0,0,[],40.0
2023-05-09,100,-27301.4,0,[],0,0,[],40.0
2023-05-10,100,-36376.2,0,[],0,6,2023-5-10-8-44-13-919538_2023-5-10-8-45-3-919538_2023-5-10-9-37-8-169538_2023-5-10-9-37-58-269538_2023-5-10-9-48-1-69538_2023-5-10-9-48-51-69538_,50.0
2023-05-11,100,-40563.1,0,[],1,0,[],40.0
2023-05-12,100,-40585.2,0,[],0,1,2023-5-12-9-46-17-469538_,40.0
2023-05-13,100,-29625.9,0,[],0,4,2023-5-13-2-30-53-349538_2023-5-13-2-31-43-349538_2023-5-13-3-21-41-599538_2023-5-13-3-22-31-649538_,40.0
2023-05-14,100,-27391.9,0,[],0,0,[],40.0
2023-05-15,100,-27397.9,0,[],0,0,[],40.0
2023-05-16,100,-27402.7,0,[],0,0,[],40.0
2023-05-17,100,-27400.8,0,[],0,0,[],40.0
2023-05-18,100,-27424.1,0,[],0,0,[],40.0
2023-05-19,100,-28938.3,0,[],0,6,2023-5-19-1-45-24-664538_2023-5-19-1-46-14-714538_2023-5-19-1-54-37-314538_2023-5-19-1-55-27-364538_2023-5-19-2-26-1-714538_2023-5-19-2-26-51-814538_,45.0
2023-05-20,100,-38089.1,0,[],0,2,2023-5-20-5-20-6-94539_2023-5-20-5-20-56-144539_,40.0
2023-05-21,100,-40652.8,0,[],0,0,[],40.0
2023-05-22,100,-40644.7,0,[],0,1,2023-5-22-17-14-32-914538_,40.0
2023-05-23,100,-40665.2,0,[],0,0,[],40.0
2023-05-24,100,-40658.4,0,[],0,2,2023-5-24-2-39-12-34538_2023-5-24-11-23-37-934538_,40.0
2023-05-25,100,-40639.5,0,[],0,1,2023-5-25-3-7-44-869539_,40.0
2023-05-26,100,-40644.6,0,[],0,0,[],40.0
2023-05-27,100,-40683.9,0,[],0,0,[],40.0
2023-05-28,100,-39876.1,0,[],0,3,2023-5-28-15-47-5-14538_2023-5-28-21-41-32-114538_2023-5-28-21-42-22-164538_,40.0
2023-05-29,100,-27547.2,0,[],1,0,[],40.0
2023-05-30,100,-27539.8,0,[],0,0,[],40.0
2023-05-31,100,-27557.4,0,[],0,0,[],40.0
2023-06-01,100,-27569.2,0,[],0,0,[],40.0
2023-06-02,100,-27588.0,0,[],0,0,[],40.0
2023-06-03,100,-27612.7,0,[],0,0,[],40.0
2023-06-04,100,-27608.5,0,[],0,0,[],40.0
