fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-74388.5,1,2023-1-1-0-0-0-0-2.955_,0,0,[],35.0
2023-01-02,100,-72877.5,0,[],0,0,[],35.0
2023-01-03,100,-72392.5,0,[],0,0,[],35.0
2023-01-04,100,-70770.7,0,[],0,0,[],35.0
2023-01-05,100,-70213.3,0,[],0,0,[],35.0
2023-01-06,100,-71247.2,0,[],0,0,[],35.0
2023-01-07,100,-69338.2,0,[],0,0,[],35.0
2023-01-08,100,-68067.0,0,[],0,0,[],35.0
2023-01-09,100,-68111.7,0,[],0,0,[],40.0
2023-01-10,100,-64919.7,0,[],0,0,[],35.0
2023-01-11,100,-66216.1,0,[],0,0,[],35.0
2023-01-12,100,-67416.3,0,[],0,0,[],35.0
2023-01-13,100,-67806.8,0,[],0,0,[],35.0
2023-01-14,100,-67763.6,0,[],0,0,[],35.0
2023-01-15,100,-67856.5,0,[],0,0,[],35.0
2023-01-16,100,-68394.6,0,[],0,0,[],35.0
2023-01-17,100,-69095.1,0,[],0,0,[],35.0
2023-01-18,100,-69411.6,0,[],0,0,[],35.0
2023-01-19,100,-69158.6,0,[],0,0,[],35.0
2023-01-20,100.0,-69736.1,1,2023-1-20-16-28-48-85000-12.674999713897705_,0,0,[],40.0
2023-01-21,100,-69715.1,0,[],0,0,[],35.0
2023-01-22,100,-70041.5,0,[],0,0,[],35.0
2023-01-23,100,-70805.8,0,[],0,0,[],35.0
2023-01-24,100,-71319.1,0,[],0,0,[],35.0
2023-01-25,100.0,-70723.2,2,2023-1-25-14-48-53-425000-22.149999856948853_2023-1-25-14-51-46-920000-9.494999885559082_,0,0,[],35.0
2023-01-26,100,-70730.4,0,[],0,0,[],35.0
2023-01-27,100.0,-70942.4,1,2023-1-27-14-50-14-805000-17.96500015258789_,0,0,[],35.0
2023-01-28,100,-71473.8,0,[],0,0,[],35.0
2023-01-29,100,-72028.2,0,[],0,0,[],35.0
2023-01-30,100.0,-72567.5,1,2023-1-30-16-42-4-480000-9.204999685287476_,0,0,[],35.0
2023-01-31,100,-73084.5,0,[],0,0,[],35.0
2023-02-01,100,-73768.2,0,[],0,0,[],35.0
2023-02-02,100,-73167.5,0,[],0,0,[],35.0
2023-02-03,100,-74273.7,0,[],0,0,[],35.0
2023-02-04,100,-75217.1,0,[],0,0,[],35.0
2023-02-05,100,-75064.5,0,[],0,0,[],35.0
2023-02-06,100,-74924.8,0,[],0,0,[],40.0
2023-02-07,99.8,-76506.3,4,2023-2-7-14-32-13-515000-5.954999923706055_2023-2-7-14-35-1-545000-23.299999952316284_2023-2-7-14-36-26-535000-75.04499983787537_2023-2-7-14-41-16-480000-78.37999987602234_,0,0,[],35.0
2023-02-08,100,-77361.7,0,[],0,0,[],35.0
2023-02-09,100,-76932.6,0,[],0,0,[],35.0
2023-02-10,100,-77294.1,0,[],0,0,[],35.0
2023-02-11,100,-77608.4,0,[],0,0,[],35.0
2023-02-12,100,-76001.4,0,[],0,0,[],35.0
2023-02-13,100,-76455.7,0,[],0,0,[],35.0
2023-02-14,100.0,-77090.4,1,2023-2-14-16-4-23-850000-16.00499987602234_,0,0,[],35.0
2023-02-15,100.0,-76707.8,2,2023-2-15-15-56-36-30000-15.764999628067017_2023-2-15-19-40-58-925000-15.980000019073486_,0,0,[],35.0
2023-02-16,100.0,-76364.3,1,2023-2-16-0-24-56-520000-9.474999904632568_,0,0,[],35.0
2023-02-17,100,-76291.9,0,[],0,0,[],35.0
2023-02-18,100.0,-76380.0,1,2023-2-18-16-17-15-615000-12.794999837875366_,0,0,[],35.0
2023-02-19,100.0,-77171.1,1,2023-2-19-1-38-54-345000-9.264999866485596_,0,0,[],35.0
2023-02-20,100.0,-77556.1,1,2023-2-20-20-27-3-450000-9.545000076293945_,0,0,[],35.0
2023-02-21,100,-77497.9,0,[],0,0,[],35.0
2023-02-22,100,-72587.8,0,[],0,0,[],35.0
2023-02-23,100,-73110.0,0,[],0,0,[],35.0
2023-02-24,100,-75232.8,0,[],0,0,[],35.0
2023-02-25,100.0,-76680.1,1,2023-2-25-22-42-26-935000-12.699999809265137_,0,0,[],35.0
2023-02-26,100.0,-77204.4,1,2023-2-26-17-21-46-170000-8.815000057220459_,0,0,[],35.0
2023-02-27,100,-78218.0,0,[],0,0,[],35.0
2023-02-28,100,-79507.1,0,[],0,0,[],35.0
2023-03-01,100.0,-79368.7,1,2023-3-1-19-11-1-110000-6.324999809265137_,0,0,[],35.0
2023-03-02,100.0,-80096.8,1,2023-3-2-4-57-56-510000-6.359999656677246_,0,0,[],40.0
2023-03-03,100,-80491.0,0,[],0,0,[],35.0
2023-03-04,100,-79059.9,0,[],0,0,[],35.0
2023-03-05,100,-76707.2,0,[],0,0,[],35.0
2023-03-06,100,-76702.9,0,[],0,0,[],35.0
2023-03-07,98.6,-73008.2,1,2023-3-7-20-1-45-125000-1219.25_,0,0,[],40.0
2023-03-08,100,-70449.0,0,[],0,0,[],35.0
2023-03-09,100,-70467.4,0,[],0,0,[],35.0
2023-03-10,100,-72199.4,0,[],0,1,2023-3-10-9-19-22-255000_,35.0
2023-03-11,100,-71826.5,0,[],0,0,[],35.0
2023-03-12,100,-69488.2,0,[],0,0,[],35.0
2023-03-13,100,-69317.5,0,[],0,0,[],35.0
2023-03-14,100,-71601.0,0,[],0,0,[],35.0
2023-03-15,100,-69899.1,0,[],0,0,[],35.0
2023-03-16,100,-67966.0,0,[],0,0,[],35.0
2023-03-17,100,-68968.5,0,[],0,0,[],35.0
2023-03-18,100,-70453.1,0,[],0,0,[],40.0
2023-03-19,98.4,-71670.5,1,2023-3-19-12-6-30-345000-1405.6849999427795_,0,0,[],35.0
2023-03-20,100,-72627.6,0,[],0,0,[],35.0
2023-03-21,100,-73066.1,0,[],0,0,[],35.0
2023-03-22,100,-73545.3,0,[],0,0,[],35.0
2023-03-23,100,-73797.4,0,[],0,0,[],35.0
2023-03-24,100,-74985.2,0,[],0,0,[],35.0
2023-03-25,100,-75814.0,0,[],0,0,[],35.0
2023-03-26,100,-76046.9,0,[],0,0,[],35.0
2023-03-27,100.0,-77202.6,1,2023-3-27-23-21-19-675000-12.644999980926514_,0,0,[],35.0
2023-03-28,100.0,-75777.6,2,2023-3-28-4-31-21-65000-3.055000066757202_2023-3-28-19-20-1-300000-6.349999904632568_,0,0,[],35.0
2023-03-29,100.0,-75387.9,1,2023-3-29-17-28-59-150000-9.509999752044678_,0,0,[],35.0
2023-03-30,100.0,-75586.8,2,2023-3-30-19-18-42-875000-3.2099997997283936_2023-3-30-19-28-52-935000-3.1599996089935303_,0,0,[],40.0
2023-03-31,100,-76129.0,0,[],0,0,[],35.0
2023-04-01,100,-76548.9,0,[],0,0,[],35.0
2023-04-02,100,-76494.2,0,[],0,0,[],40.0
2023-04-03,100,-77467.1,0,[],0,0,[],35.0
2023-04-04,100,-78086.3,0,[],0,0,[],40.0
2023-04-05,100.0,-77734.5,2,2023-4-5-20-17-57-495000-9.329999923706055_2023-4-5-22-32-38-390000-8.234999895095825_,0,0,[],40.0
2023-04-06,100,-76043.9,0,[],0,0,[],35.0
2023-04-07,100,-74516.5,0,[],0,0,[],35.0
2023-04-08,100,-73993.8,0,[],0,0,[],35.0
2023-04-09,100,-75106.8,0,[],0,0,[],35.0
2023-04-10,100,-75890.0,0,[],0,0,[],35.0
2023-04-11,99.9,-75327.5,1,2023-4-11-17-0-47-685000-54.125_,0,0,[],40.0
2023-04-12,79.8,-76759.9,7,2023-4-12-1-52-18-50000-429.75999999046326_2023-4-12-10-54-19-595000-16893.21499991417_2023-4-12-15-37-7-915000-91.89499998092651_2023-4-12-15-38-51-610000-1.2000000476837158_2023-4-12-15-38-53-810000-1.0_2023-4-12-15-38-55-495000-0.4999997615814209_2023-4-12-15-43-9-990000-45.8199999332428_,0,0,[],30.0
2023-04-13,96.9,-73759.0,11,2023-4-13-2-2-22-995000-700.8149998188019_2023-4-13-2-15-19-70000-91.73999977111816_2023-4-13-2-16-51-610000-1.2000000476837158_2023-4-13-2-16-53-810000-1.0_2023-4-13-2-16-55-495000-0.4999997615814209_2023-4-13-12-46-55-210000-1324.6000001430511_2023-4-13-13-10-13-945000-92.86500000953674_2023-4-13-13-11-51-610000-1.2000000476837158_2023-4-13-13-11-53-810000-1.0_2023-4-13-13-11-55-495000-0.4999997615814209_2023-4-13-23-42-1-880000-422.9299998283386_,0,0,[],45.0
2023-04-14,86.7,-73942.8,2,2023-4-14-20-52-20-660000-11259.34_2023-4-14-10-19-8-570000-189.24000000953674_,0,0,[],40.0
2023-04-15,0,-9,0,[],0,0,[],-9
2023-04-16,9.7,-77090.5,5,2023-4-16-0-0-0-0-77882.815_2023-4-16-21-39-16-945000-92.86500000953674_2023-4-16-21-40-50-610000-1.2000000476837158_2023-4-16-21-40-52-810000-1.0_2023-4-16-21-40-54-495000-0.4999997615814209_,0,0,[],75.0
2023-04-17,99.0,-73970.8,5,2023-4-17-8-19-17-325000-462.4849998950958_2023-4-17-14-32-28-730000-6.265000104904175_2023-4-17-14-32-59-985000-6.294999837875366_2023-4-17-19-7-29-775000-362.0349998474121_2023-4-17-20-46-51-845000-22.34500002861023_,0,0,[],40.0
2023-04-18,99.1,-75229.3,2,2023-4-18-5-53-57-160000-374.64999985694885_2023-4-18-16-40-49-540000-413.2699999809265_,0,0,[],40.0
2023-04-19,99.7,-76258.9,5,2023-4-19-3-28-8-160000-122.64999985694885_2023-4-19-14-7-29-195000-113.61499977111816_2023-4-19-16-20-23-60000-16.005000114440918_2023-4-19-16-46-10-325000-9.549999952316284_2023-4-19-22-17-12-800000-6.384999990463257_,0,0,[],40.0
2023-04-20,98.9,-74524.4,3,2023-4-20-0-50-3-795000-427.0149998664856_2023-4-20-11-37-1-845000-433.9649999141693_2023-4-20-22-25-1-590000-121.21999979019165_,0,0,[],45.0
2023-04-21,99.2,-70236.6,2,2023-4-21-9-6-13-865000-377.9449999332428_2023-4-21-19-52-44-235000-342.57499980926514_,0,0,[],40.0
2023-04-22,99.1,-68595.7,2,2023-4-22-6-38-14-970000-381.8400001525879_2023-4-22-17-23-34-635000-392.1749999523163_,0,0,[],40.0
2023-04-23,99.1,-72122.4,2,2023-4-23-4-10-11-475000-390.3349997997284_2023-4-23-14-56-54-750000-362.05999970436096_,0,0,[],40.0
2023-04-24,99.0,-70662.8,3,2023-4-24-1-43-23-830000-167.9799997806549_2023-4-24-12-23-59-995000-366.8149998188019_2023-4-24-23-10-41-640000-369.16999983787537_,0,0,[],40.0
2023-04-25,99.1,-72629.6,2,2023-4-25-9-56-50-785000-379.02500009536743_2023-4-25-20-43-33-920000-392.8899998664856_,0,0,[],40.0
2023-04-26,99.1,-73520.5,3,2023-4-26-7-29-38-125000-379.68499994277954_2023-4-26-18-16-47-890000-403.92000007629395_2023-4-26-21-17-20-830000-6.454999685287476_,0,0,[],40.0
2023-04-27,98.8,-73813.8,4,2023-4-27-5-1-19-995000-639.8149998188019_2023-4-27-15-52-21-115000-354.6949999332428_2023-4-27-20-32-52-145000-12.730000019073486_2023-4-27-21-45-29-860000-18.960000038146973_,0,0,[],40.0
2023-04-28,99.4,-73636.6,2,2023-4-28-2-38-38-390000-98.41999983787537_2023-4-28-13-20-13-205000-400.6050000190735_,0,0,[],40.0
2023-04-29,98.7,-74443.1,3,2023-4-29-0-7-8-735000-373.07499980926514_2023-4-29-10-53-14-315000-365.4949998855591_2023-4-29-21-40-13-375000-347.43499994277954_,0,0,[],40.0
2023-04-30,99.1,-74373.0,2,2023-4-30-8-21-46-355000-377.45499992370605_2023-4-30-19-8-43-435000-383.3749997615814_,0,0,[],40.0
2023-05-01,99.1,-75238.0,2,2023-5-1-5-55-21-400000-357.4099998474121_2023-5-1-16-41-50-40000-391.7699999809265_,0,0,[],40.0
2023-05-02,99.1,-76357.7,2,2023-5-2-3-28-51-75000-365.7349998950958_2023-5-2-14-15-13-550000-406.2599997520447_,0,0,[],40.0
