fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,8.5,-9855.4,3,2023-1-1-0-0-0-0-39678.19_2023-1-1-22-40-4-620000-4795.38_2023-1-1-12-2-6-680000-34621.3149998188_,0,0,[],15.0
2023-01-02,8.4,-9860.2,3,2023-1-2-0-0-0-0-37386.59_2023-1-2-22-54-10-995000-3949.005_2023-1-2-11-24-18-940000-37774.829999923706_,0,0,[],15.0
2023-01-03,4.1,-11061.1,3,2023-1-3-0-0-0-0-45768.175_2023-1-3-13-51-14-450000-36525.55_2023-1-3-12-43-4-100000-601.5550000667572_,0,0,[],35.0
2023-01-04,41.5,-9493.1,1,2023-1-4-0-0-0-0-50570.64_,0,0,[],35.0
2023-01-05,86.7,-10122.5,1,2023-1-5-20-48-52-580000-11467.42_,0,0,[],35.0
2023-01-06,0,-9,0,[],0,0,[],-9
2023-01-07,0,-9,0,[],0,0,[],-9
2023-01-08,0,-9,0,[],0,0,[],-9
2023-01-09,0,-9,0,[],0,0,[],-9
2023-01-10,0,-9,0,[],0,0,[],-9
2023-01-11,0,-9,0,[],0,0,[],-9
2023-01-12,0,-9,0,[],0,0,[],-9
2023-01-13,27.6,-9850.2,1,2023-1-13-0-0-0-0-62595.04_,0,0,[],35.0
2023-01-14,100,-10304.0,0,[],0,0,[],35.0
2023-01-15,100,-10399.7,0,[],0,0,[],35.0
2023-01-16,100,-10330.6,0,[],0,0,[],35.0
2023-01-17,100,-10025.1,0,[],0,0,[],35.0
2023-01-18,64.4,-10832.7,1,2023-1-18-12-13-8-580000-30739.450000047684_,1,0,[],25.0
2023-01-19,100,-10558.4,0,[],0,0,[],35.0
2023-01-20,100.0,-10876.4,1,2023-1-20-16-28-50-345000-10.609999895095825_,0,0,[],35.0
2023-01-21,81.2,-10897.2,1,2023-1-21-16-49-21-295000-16224.859999895096_,0,0,[],30.0
2023-01-22,100,-10499.3,0,[],0,0,[],35.0
2023-01-23,99.9,-10721.1,1,2023-1-23-13-31-11-715000-71.27999973297119_,1,0,[],35.0
2023-01-24,100,-10481.2,0,[],0,0,[],35.0
2023-01-25,100.0,-10914.7,2,2023-1-25-14-48-52-605000-21.244999885559082_2023-1-25-14-51-47-600000-8.079999923706055_,0,0,[],35.0
2023-01-26,100,-10693.2,0,[],0,0,[],35.0
2023-01-27,100.0,-10447.9,1,2023-1-27-14-50-13-405000-18.545000076293945_,0,0,[],35.0
2023-01-28,100,-10315.2,0,[],0,0,[],35.0
2023-01-29,100,-10591.6,0,[],0,0,[],35.0
2023-01-30,100.0,-11171.5,1,2023-1-30-16-42-6-880000-8.084999561309814_,0,0,[],35.0
2023-01-31,100,-9824.3,0,[],0,0,[],35.0
2023-02-01,100,-10053.4,0,[],0,0,[],35.0
2023-02-02,100,-10075.6,0,[],0,0,[],35.0
2023-02-03,100,-10866.0,0,[],0,0,[],35.0
2023-02-04,100,-11109.1,0,[],0,0,[],35.0
2023-02-05,100,-10950.3,0,[],0,0,[],35.0
2023-02-06,99.6,-10729.0,1,2023-2-6-3-39-13-620000-338.375_,2,0,[],35.0
2023-02-07,99.8,-11056.6,4,2023-2-7-14-32-12-520000-8.09499979019165_2023-2-7-14-35-0-900000-21.49999976158142_2023-2-7-14-36-23-895000-77.65000009536743_2023-2-7-14-41-16-165000-77.82999992370605_,1,0,[],35.0
2023-02-08,59.4,-10540.7,1,2023-2-8-11-17-44-375000-35110.164999723434_,2,0,[],25.0
2023-02-09,81.1,-10086.3,6,2023-2-9-23-32-33-505000-1646.495_2023-2-9-10-29-22-735000-1000.7449996471405_2023-2-9-13-7-45-210000-88.28000020980835_2023-2-9-14-20-42-920000-6311.469999790192_2023-2-9-16-35-55-230000-5453.129999876022_2023-2-9-20-5-20-880000-1801.329999923706_,8,0,[],30.0
2023-02-10,26.8,-10394.5,6,2023-2-10-0-0-0-0-33387.21_2023-2-10-23-54-55-995000-304.005_2023-2-10-10-56-46-805000-4071.8200001716614_2023-2-10-13-33-41-730000-17311.32000017166_2023-2-10-19-22-48-985000-659.2949998378754_2023-2-10-20-49-4-270000-7511.324999570847_,1,0,[],30.0
2023-02-11,16.6,-11680.3,4,2023-2-11-0-0-0-0-34945.145_2023-2-11-14-15-14-755000-35085.245_2023-2-11-10-42-59-170000-937.4400000572205_2023-2-11-12-55-40-735000-1124.0499999523163_,0,0,[],35.0
2023-02-12,37.4,-10423.9,8,2023-2-12-0-0-0-0-4043.335_2023-2-12-2-39-31-660000-26770.569999933243_2023-2-12-11-6-44-610000-1336.5949997901917_2023-2-12-13-8-41-825000-4022.939999818802_2023-2-12-15-16-40-500000-357.3949999809265_2023-2-12-16-24-6-375000-7121.8550000190735_2023-2-12-19-25-31-410000-10070.015000104904_2023-2-12-23-19-41-55000-403.11499977111816_,2,0,[],30.0
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,100.0,530.3,2,2023-2-14-0-0-0-0-0.63_2023-2-14-16-4-22-820000-15.734999895095825_,1,0,[],35.0
2023-02-15,100.0,185.1,2,2023-2-15-15-56-35-835000-16.009999752044678_2023-2-15-19-40-59-645000-13.394999742507935_,0,0,[],35.0
2023-02-16,100.0,-230.3,1,2023-2-16-0-24-55-910000-8.06499981880188_,1,0,[],35.0
2023-02-17,100,-406.9,0,[],2,0,[],35.0
2023-02-18,100.0,248.0,1,2023-2-18-16-17-12-355000-16.319999933242798_,4,0,[],35.0
2023-02-19,100.0,-493.4,1,2023-2-19-1-38-54-345000-7.974999904632568_,0,0,[],35.0
2023-02-20,100.0,-312.2,1,2023-2-20-20-27-4-165000-10.585000038146973_,1,0,[],35.0
2023-02-21,100,-73.9,0,[],0,0,[],35.0
2023-02-22,100,-297.5,0,[],2,0,[],35.0
2023-02-23,100,-1133.7,0,[],1,0,[],35.0
2023-02-24,100,171.4,0,[],0,0,[],35.0
2023-02-25,100.0,109.7,1,2023-2-25-22-42-27-645000-13.09499979019165_,0,0,[],35.0
2023-02-26,100.0,61.6,1,2023-2-26-17-21-45-385000-8.054999828338623_,0,0,[],35.0
2023-02-27,100,476.0,0,[],1,0,[],35.0
2023-02-28,100,281.4,0,[],0,0,[],35.0
2023-03-01,100.0,-553.9,1,2023-3-1-19-11-1-625000-5.369999885559082_,0,0,[],35.0
2023-03-02,100.0,-296.8,1,2023-3-2-4-57-53-755000-10.75_,0,0,[],35.0
2023-03-03,100,262.0,0,[],1,0,[],35.0
2023-03-04,100,375.3,0,[],0,0,[],35.0
2023-03-05,100,38.6,0,[],0,0,[],35.0
2023-03-06,100,-126.6,0,[],0,0,[],35.0
2023-03-07,98.1,-233.1,1,2023-3-7-19-51-37-335000-1677.539999961853_,0,0,[],35.0
2023-03-08,100,-463.4,0,[],0,0,[],35.0
2023-03-09,100,-189.7,0,[],0,0,[],35.0
2023-03-10,100,-856.1,0,[],1,0,[],35.0
2023-03-11,100,-776.4,0,[],0,0,[],35.0
2023-03-12,100,-1412.7,0,[],0,0,[],35.0
2023-03-13,96.2,-917.4,2,2023-3-13-14-52-4-855000-3158.7549998760223_2023-3-13-20-29-49-435000-156.1199996471405_,1,0,[],35.0
2023-03-14,100,-895.6,0,[],0,0,[],35.0
2023-03-15,100,-619.1,0,[],0,0,[],35.0
2023-03-16,100,-868.9,0,[],1,0,[],35.0
2023-03-17,100,-629.8,0,[],0,0,[],35.0
2023-03-18,100,-772.2,0,[],1,0,[],40.0
2023-03-19,100,-483.2,0,[],0,0,[],35.0
2023-03-20,100,-31.4,0,[],0,0,[],35.0
2023-03-21,100,214.7,0,[],0,0,[],35.0
2023-03-22,100,-276.5,0,[],0,0,[],35.0
2023-03-23,100,22.7,0,[],0,0,[],35.0
2023-03-24,100,-240.2,0,[],0,0,[],35.0
2023-03-25,100,-572.9,0,[],0,0,[],35.0
2023-03-26,100,-553.7,0,[],0,0,[],35.0
2023-03-27,100.0,-1014.3,1,2023-3-27-23-21-18-780000-15.97000002861023_,0,0,[],35.0
2023-03-28,100.0,-1123.7,2,2023-3-28-4-31-19-690000-2.7300000190734863_2023-3-28-19-20-0-415000-7.980000019073486_,0,0,[],35.0
2023-03-29,100.0,-1077.3,1,2023-3-29-17-29-0-170000-7.940000057220459_,1,0,[],35.0
2023-03-30,100.0,-812.3,2,2023-3-30-19-18-43-445000-5.43999981880188_2023-3-30-19-28-51-455000-5.259999752044678_,1,0,[],35.0
2023-03-31,100,-769.5,0,[],0,0,[],35.0
2023-04-01,100,-336.9,0,[],0,0,[],35.0
2023-04-02,100,-801.2,0,[],0,0,[],35.0
2023-04-03,100,-955.0,0,[],0,0,[],35.0
2023-04-04,100,-736.8,0,[],0,0,[],35.0
2023-04-05,100.0,159.1,2,2023-4-5-20-17-55-460000-8.085000038146973_2023-4-5-22-32-37-80000-7.84499979019165_,0,0,[],35.0
2023-04-06,100,55.4,0,[],0,0,[],35.0
2023-04-07,100,-450.7,0,[],0,0,[],35.0
2023-04-08,100,-737.5,0,[],0,0,[],35.0
2023-04-09,100,-1307.3,0,[],0,0,[],35.0
2023-04-10,99.9,-1329.6,2,2023-4-10-17-15-41-745000-34.25_2023-4-10-19-9-27-530000-64.46499991416931_,1,0,[],35.0
2023-04-11,99.9,-1137.8,1,2023-4-11-13-3-6-890000-52.105000019073486_,1,0,[],35.0
2023-04-12,69.1,-1099.6,2,2023-4-12-16-36-3-605000-26636.395_2023-4-12-7-16-16-510000-55.484999656677246_,0,0,[],35.0
2023-04-13,95.9,-1159.4,2,2023-4-13-0-0-0-0-3503.0_2023-4-13-19-24-41-460000-55.53499984741211_,0,0,[],35.0
2023-04-14,99.9,-785.0,1,2023-4-14-13-43-33-125000-80.86999988555908_,2,0,[],35.0
