fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,35097.8,1,2023-1-1-0-0-0-0-0.105_,0,0,[],70.0
2023-01-02,100,35141.0,0,[],0,1,2023-1-2-7-56-28-150000_,70.0
2023-01-03,100,35074.1,0,[],0,0,[],70.0
2023-01-04,100,35109.3,0,[],0,0,[],70.0
2023-01-05,100,35093.9,0,[],0,2,2023-1-5-14-29-16-695000_2023-1-5-14-33-25-845000_,70.0
2023-01-06,100.0,35111.0,1,2023-1-6-5-15-54-120000-2.364999771118164_,0,0,[],70.0
2023-01-07,100.0,35201.6,1,2023-1-7-12-0-33-360000-2.5_,0,0,[],70.0
2023-01-08,100,35135.2,0,[],0,0,[],70.0
2023-01-09,100.0,35161.3,1,2023-1-9-19-9-37-530000-1.3199999332427979_,0,0,[],70.0
2023-01-10,100,35157.0,0,[],0,0,[],70.0
2023-01-11,100,35141.4,0,[],0,2,2023-1-11-8-23-33-340000_2023-1-11-9-48-57-890000_,70.0
2023-01-12,100,35131.6,0,[],0,0,[],70.0
2023-01-13,100,35158.3,0,[],0,1,2023-1-13-8-2-1-450000_,70.0
2023-01-14,100.0,35171.8,1,2023-1-14-5-15-7-50000-2.059999942779541_,0,0,[],70.0
2023-01-15,100,35075.7,0,[],0,2,2023-1-15-11-28-30-830000_2023-1-15-17-59-33-130000_,70.0
2023-01-16,99.7,35111.9,2,2023-1-16-0-0-0-210000-2.375_2023-1-16-15-18-39-930000-277.9800000190735_,0,1,2023-1-16-8-54-10-285000_,70.0
2023-01-17,100,35159.1,0,[],0,0,[],70.0
2023-01-18,100,35053.7,0,[],0,0,[],70.0
2023-01-19,100,35057.7,0,[],0,1,2023-1-19-7-28-32-445000_,70.0
2023-01-20,100.0,35104.8,1,2023-1-20-16-28-46-790000-11.604999780654907_,0,1,2023-1-20-8-23-35-960000_,70.0
2023-01-21,100,35120.0,0,[],0,0,[],70.0
2023-01-22,93.4,35086.5,1,2023-1-22-18-29-43-780000-5662.959999799728_,0,0,[],65.0
2023-01-23,100,35110.4,0,[],0,5,2023-1-23-5-11-39-595000_2023-1-23-6-5-33-695000_2023-1-23-6-35-26-95000_2023-1-23-7-41-46-45000_2023-1-23-9-15-3-895000_,70.0
2023-01-24,100,35139.3,0,[],0,1,2023-1-24-9-42-6-405000_,70.0
2023-01-25,100.0,35056.2,2,2023-1-25-14-48-53-770000-19.40499997138977_2023-1-25-14-51-46-120000-6.150000095367432_,0,1,2023-1-25-9-52-5-970000_,75.0
2023-01-26,100,35076.7,0,[],0,1,2023-1-26-4-30-30-30000_,70.0
2023-01-27,99.8,35110.2,7,2023-1-27-0-0-0-605000-27.02_2023-1-27-0-0-2-510000-25.109999656677246_2023-1-27-0-0-50-540000-28.15000009536743_2023-1-27-0-1-52-530000-15.339999914169312_2023-1-27-1-21-56-320000-6.659999847412109_2023-1-27-2-8-58-380000-16.99999976158142_2023-1-27-14-50-13-35000-16.484999656677246_,0,0,[],80.0
2023-01-28,98.6,-75831.3,13,2023-1-28-18-48-8-440000-89.39999985694885_2023-1-28-18-50-28-715000-1.2349998950958252_2023-1-28-18-59-41-145000-164.0_2023-1-28-19-14-47-835000-77.3349997997284_2023-1-28-19-16-35-730000-1.3700001239776611_2023-1-28-19-19-57-435000-77.90999984741211_2023-1-28-19-26-25-770000-368.37999987602234_2023-1-28-19-57-39-940000-73.09999966621399_2023-1-28-19-59-27-775000-1.5249996185302734_2023-1-28-20-9-30-135000-166.9599997997284_2023-1-28-20-18-9-135000-64.96499991416931_2023-1-28-20-19-55-730000-1.6500000953674316_2023-1-28-20-30-1-975000-161.66499972343445_,5,0,[],80.0
2023-01-29,99.2,35120.8,8,2023-1-29-19-35-58-570000-181.79499983787537_2023-1-29-19-51-30-85000-77.38499999046326_2023-1-29-19-53-34-755000-0.7649996280670166_2023-1-29-19-58-14-535000-75.80999994277954_2023-1-29-20-0-17-775000-0.36999988555908203_2023-1-29-20-3-58-40000-314.93499994277954_2023-1-29-20-22-7-790000-71.46999955177307_2023-1-29-20-24-10-755000-1.4199998378753662_,1,1,2023-1-29-11-55-7-205000_,70.0
2023-01-30,100.0,35108.7,1,2023-1-30-16-42-2-805000-7.930000066757202_,0,2,2023-1-30-8-41-25-425000_2023-1-30-10-25-21-75000_,75.0
2023-01-31,100,35223.3,0,[],0,1,2023-1-31-9-25-2-555000_,70.0
2023-02-01,100,35267.6,0,[],0,0,[],70.0
2023-02-02,100,35159.3,0,[],0,0,[],70.0
2023-02-03,100,35064.0,0,[],0,0,[],70.0
2023-02-04,99.4,35101.6,10,2023-2-4-19-5-19-780000-1.1299998760223389_2023-2-4-19-37-36-940000-82.75999975204468_2023-2-4-19-39-36-730000-0.33500027656555176_2023-2-4-19-49-33-410000-173.21000003814697_2023-2-4-19-52-28-610000-77.60999989509583_2023-2-4-19-54-17-730000-0.9200000762939453_2023-2-4-20-9-34-535000-89.79499983787537_2023-2-4-20-11-27-730000-0.7850000858306885_2023-2-4-20-37-53-230000-69.98000001907349_2023-2-4-20-39-46-730000-0.8900001049041748_,1,0,[],75.0
2023-02-05,100,35082.9,0,[],0,0,[],70.0
2023-02-06,100.0,35237.2,1,2023-2-6-16-15-39-290000-4.56499981880188_,0,1,2023-2-6-5-1-42-255000_,75.0
2023-02-07,99.7,35231.1,6,2023-2-7-14-32-11-770000-4.934999942779541_2023-2-7-14-34-59-450000-20.950000047683716_2023-2-7-14-36-22-950000-77.2649998664856_2023-2-7-14-41-13-635000-77.17999982833862_2023-2-7-20-35-28-75000-75.24499988555908_2023-2-7-20-37-20-775000-0.5499997138977051_,0,0,[],75.0
2023-02-08,100.0,35248.3,1,2023-2-8-16-0-39-545000-4.605000019073486_,0,0,[],75.0
2023-02-09,100.0,35327.0,1,2023-2-9-20-11-4-280000-39.4300000667572_,0,0,[],75.0
2023-02-10,100,35367.1,0,[],0,0,[],70.0
2023-02-11,100,35271.2,0,[],0,1,2023-2-11-8-48-8-370000_,70.0
2023-02-12,100,35295.7,0,[],0,0,[],70.0
2023-02-13,100,35377.4,0,[],0,0,[],70.0
2023-02-14,100.0,35384.8,1,2023-2-14-16-4-20-550000-16.384999752044678_,0,0,[],75.0
