fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-2.3,1,2023-1-1-0-0-0-0-0.81_,0,0,[],40.0
2023-01-02,99.8,-1.7,1,2023-1-2-13-5-4-360000-173.63499999046326_,0,0,[],45.0
2023-01-03,100.0,-1.9,1,2023-1-3-8-34-34-45000-2.049999952316284_,0,0,[],50.0
2023-01-04,100,-1.9,0,[],0,0,[],50.0
2023-01-05,100,-1.2,0,[],0,0,[],50.0
2023-01-06,100,-1.8,0,[],0,0,[],50.0
2023-01-07,100,-2.0,0,[],0,0,[],50.0
2023-01-08,100,-1.9,0,[],0,0,[],45.0
2023-01-09,100,-1.2,0,[],0,0,[],40.0
2023-01-10,100,-2.2,0,[],0,0,[],50.0
2023-01-11,100,-1.7,0,[],0,0,[],50.0
2023-01-12,100.0,-2.0,2,2023-1-12-16-50-43-610000-4.384999990463257_2023-1-12-20-25-1-415000-3.5799999237060547_,0,0,[],50.0
2023-01-13,100,-1.7,0,[],0,0,[],50.0
2023-01-14,100,-1.5,0,[],0,0,[],50.0
2023-01-15,100,-1.8,0,[],0,0,[],45.0
2023-01-16,100,-1.5,0,[],0,0,[],50.0
2023-01-17,100,-1.5,0,[],0,0,[],50.0
2023-01-18,100,-2.2,0,[],0,0,[],50.0
2023-01-19,100,-2.1,0,[],0,0,[],50.0
2023-01-20,100.0,-2.1,1,2023-1-20-16-28-46-525000-12.700000047683716_,0,0,[],50.0
2023-01-21,37.5,-3.8,1,2023-1-21-8-59-27-995000-54032.005_,0,0,[],40.0
2023-01-22,0,-9,0,[],0,0,[],-9
2023-01-23,0,-9,0,[],0,0,[],-9
2023-01-24,0,-9,0,[],0,0,[],-9
2023-01-25,0,-9,0,[],0,0,[],-9
2023-01-26,13.3,-0.8,1,2023-1-26-0-0-0-0-74903.0_,0,0,[],60.0
2023-01-27,79.5,-2.2,2,2023-1-27-19-5-22-995000-17677.005_2023-1-27-14-50-12-175000-17.41000008583069_,0,0,[],50.0
2023-01-28,0,-9,0,[],0,0,[],-9
2023-01-29,0,-9,0,[],0,0,[],-9
2023-01-30,30.4,0.3,1,2023-1-30-0-0-0-0-60132.0_,0,0,[],65.0
2023-01-31,99.8,-1.9,2,2023-1-31-1-36-36-995000-144.99999976158142_2023-1-31-1-42-51-995000-2.999999761581421_,0,0,[],50.0
2023-02-01,100.0,-1.8,2,2023-2-1-19-4-30-995000-23.99999976158142_2023-2-1-19-8-44-995000-2.999999761581421_,0,0,[],50.0
2023-02-02,100,-2.0,0,[],0,0,[],50.0
2023-02-03,100,-1.7,0,[],0,0,[],50.0
2023-02-04,100,-2.3,0,[],0,0,[],50.0
2023-02-05,100,-1.4,0,[],0,0,[],45.0
2023-02-06,100,-1.5,0,[],0,1,2023-2-6-12-17-6-620000_,50.0
2023-02-07,99.0,-2.6,5,2023-2-7-14-19-29-995000-661.9999997615814_2023-2-7-14-32-13-995000-3.999999761581421_2023-2-7-14-35-1-995000-19.99999976158142_2023-2-7-14-36-23-995000-77.99999976158142_2023-2-7-14-41-15-995000-71.99999976158142_,0,0,[],50.0
2023-02-08,100,-1.8,0,[],0,0,[],50.0
2023-02-09,99.9,-1.8,2,2023-2-9-11-45-30-995000-62.99999976158142_2023-2-9-11-50-23-995000-2.999999761581421_,0,0,[],50.0
2023-02-10,100,-2.0,0,[],0,0,[],50.0
2023-02-11,100,-2.1,0,[],0,0,[],50.0
2023-02-12,100,-2.3,0,[],0,0,[],45.0
2023-02-13,100,-2.0,0,[],0,0,[],50.0
2023-02-14,100.0,-2.2,1,2023-2-14-16-4-22-995000-13.999999761581421_,0,0,[],50.0
2023-02-15,100.0,-1.1,2,2023-2-15-15-56-35-995000-13.999999761581421_2023-2-15-19-40-59-995000-11.999999761581421_,0,0,[],50.0
2023-02-16,99.5,-2.0,2,2023-2-16-0-24-55-995000-3.999999761581421_2023-2-16-16-1-26-995000-403.9999997615814_,0,0,[],50.0
2023-02-17,100,-2.5,0,[],0,0,[],50.0
2023-02-18,74.5,-3.8,3,2023-2-18-17-54-8-995000-21951.005_2023-2-18-5-4-52-995000-63.99999976158142_2023-2-18-16-17-14-995000-11.999999761581421_,0,0,[],45.0
2023-02-19,96.4,-2.1,2,2023-2-19-0-0-0-0-3102.0_2023-2-19-1-38-54-995000-3.999999761581421_,0,0,[],45.0
2023-02-20,100.0,-1.9,1,2023-2-20-20-27-3-995000-5.999999761581421_,0,0,[],50.0
2023-02-21,100,-2.3,0,[],0,0,[],50.0
2023-02-22,100,-2.3,0,[],0,0,[],45.0
2023-02-23,99.9,-1.2,1,2023-2-23-18-49-52-995000-61.99999976158142_,0,0,[],50.0
2023-02-24,100,-1.6,0,[],0,0,[],50.0
2023-02-25,0.9,-1.9,1,2023-2-25-0-12-45-995000-85634.005_,0,0,[],-9
2023-02-26,0,-9,0,[],0,0,[],-9
2023-02-27,0,-9,0,[],0,0,[],-9
2023-02-28,0,-9,0,[],0,0,[],-9
2023-03-01,16.6,-1.1,1,2023-3-1-0-0-0-0-72051.0_,0,0,[],60.0
2023-03-02,100.0,-2.0,1,2023-3-2-4-57-56-995000-1.999999761581421_,0,0,[],50.0
2023-03-03,100,-2.6,0,[],0,0,[],50.0
2023-03-04,100,-2.4,0,[],0,0,[],50.0
2023-03-05,100,-2.2,0,[],0,0,[],45.0
2023-03-06,24.0,-4.0,5,2023-3-6-20-37-3-995000-12176.005_2023-3-6-5-35-20-995000-53420.99999976158_2023-3-6-20-28-19-995000-21.99999976158142_2023-3-6-20-31-19-995000-22.99999976158142_2023-3-6-20-34-18-995000-22.99999976158142_,0,0,[],10.0
2023-03-07,0,-9,0,[],0,0,[],-9
2023-03-08,0,-9,0,[],0,0,[],-9
2023-03-09,0,-9,0,[],0,0,[],-9
2023-03-10,60.5,-1.1,2,2023-3-10-0-0-0-0-34064.0_2023-3-10-17-23-0-995000-59.99999976158142_,0,0,[],60.0
2023-03-11,100,-2.6,0,[],0,0,[],50.0
2023-03-12,100,-1.5,0,[],0,0,[],45.0
2023-03-13,99.8,-1.9,1,2023-3-13-16-42-37-995000-199.99999976158142_,0,0,[],50.0
2023-03-14,100,-1.4,0,[],0,0,[],50.0
2023-03-15,100,-2.4,0,[],0,0,[],50.0
2023-03-16,59.5,-3.5,1,2023-3-16-14-17-8-995000-34971.005_,0,0,[],45.0
2023-03-17,0,-9,0,[],0,0,[],-9
2023-03-18,0,-9,0,[],0,0,[],-9
2023-03-19,0,-9,0,[],0,0,[],-9
2023-03-20,0,-9,0,[],0,0,[],-9
2023-03-21,0,-9,0,[],0,0,[],-9
2023-03-22,0,-9,0,[],0,0,[],-9
2023-03-23,0,-9,0,[],0,0,[],-9
2023-03-24,0,-9,0,[],0,0,[],-9
2023-03-25,0,-9,0,[],0,0,[],-9
2023-03-26,74.0,-1.2,2,2023-3-26-0-0-0-0-11623.0_2023-3-26-20-59-53-995000-10806.005_,0,0,[],45.0
2023-03-27,0,-9,0,[],0,0,[],-9
2023-03-28,0,-9,0,[],0,0,[],-9
2023-03-29,25.5,-3.0,3,2023-3-29-0-0-0-0-9165.0_2023-3-29-8-41-25-995000-55114.005_2023-3-29-8-1-34-995000-62.99999976158142_,0,0,[],40.0
2023-03-30,0,-9,0,[],0,0,[],-9
2023-03-31,0,-9,0,[],0,0,[],-9
2023-04-01,0,-9,0,[],0,0,[],-9
2023-04-02,0,-9,0,[],0,0,[],-9
2023-04-03,70.4,-0.2,3,2023-4-3-0-0-0-0-25302.0_2023-4-3-8-31-7-995000-247.99999976158142_2023-4-3-8-35-31-995000-2.999999761581421_,0,0,[],55.0
2023-04-04,100,-1.5,0,[],0,0,[],50.0
2023-04-05,100.0,-1.5,2,2023-4-5-20-17-57-995000-5.999999761581421_2023-4-5-22-32-39-995000-3.999999761581421_,0,0,[],50.0
2023-04-06,100.0,-1.5,2,2023-4-6-12-8-14-990000-24.0_2023-4-6-12-12-27-995000-2.999999761581421_,0,0,[],50.0
2023-04-07,100,-1.3,0,[],0,0,[],40.0
2023-04-08,100,-1.7,0,[],0,0,[],45.0
2023-04-09,100,-1.3,0,[],0,0,[],45.0
2023-04-10,100,-1.8,0,[],0,0,[],50.0
2023-04-11,99.9,-1.4,1,2023-4-11-17-16-46-995000-59.99999976158142_,0,0,[],50.0
2023-04-12,86.1,-2.3,1,2023-4-12-20-39-49-995000-12010.005_,0,0,[],50.0
2023-04-13,40.4,-0.2,1,2023-4-13-0-0-0-0-51459.0_,0,0,[],60.0
