fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,55.5,1,0,2,0.0
2023-01-02,100,49.8,0,0,0,0.0
2023-01-03,100,15.0,0,0,0,0.0
2023-01-04,100,25.4,0,0,1,0.0
2023-01-05,100,32.1,0,0,2,0.0
2023-01-06,100,11.1,0,0,7,0.0
2023-01-07,100,-26.9,0,0,0,0.0
2023-01-08,100,-2.1,0,0,7,0.0
2023-01-09,100,-17.5,0,0,3,0.0
2023-01-10,100,-0.1,0,0,0,0.0
2023-01-11,100,-0.0,0,0,0,0.0
2023-01-12,100,-18.0,0,0,0,0.0
2023-01-13,100,45.9,0,0,2,0.0
2023-01-14,100,5.6,0,0,1,0.0
2023-01-15,100,19.0,0,0,0,0.0
2023-01-16,100,35.0,0,0,0,0.0
2023-01-17,100,-8.2,0,0,5,0.0
2023-01-18,100,11.6,0,0,4,0.0
2023-01-19,100,14.4,0,0,1,0.0
2023-01-20,100,6.3,0,1,4,0.0
2023-01-21,100,19.0,0,0,0,0.0
2023-01-22,100,32.6,0,0,1,0.0
2023-01-23,100,7.2,0,0,0,0.0
2023-01-24,100,26.8,0,0,0,0.0
2023-01-25,100,7.7,0,2,0,0.0
2023-01-26,100,16.0,0,0,2,0.0
2023-01-27,100,33.7,0,1,1,0.0
2023-01-28,100,60.7,0,0,2,0.0
2023-01-29,100,55.7,0,0,0,0.0
2023-01-30,100,22.5,0,1,0,0.0
2023-01-31,100,60.3,0,0,0,0.0
2023-02-01,100,33.3,0,0,1,0.0
2023-02-02,100,38.6,0,0,0,0.0
2023-02-03,100,16.1,0,0,0,0.0
2023-02-04,100,5.5,0,0,0,0.0
2023-02-05,100,19.4,0,0,1,0.0
2023-02-06,100,10.7,0,0,10,5.0
2023-02-07,100,23.3,0,1,2,0.0
2023-02-08,100,33.0,0,0,0,0.0
2023-02-09,100,37.0,0,0,0,0.0
2023-02-10,100,37.2,0,0,0,0.0
2023-02-11,100,-3.3,0,0,0,0.0
2023-02-12,100,38.1,0,0,0,0.0
2023-02-13,100,5.7,0,0,0,0.0
2023-02-14,100,-8.6,0,1,1,0.0
2023-02-15,100,23.7,0,2,1,0.0
2023-02-16,100,-19.7,0,1,1,0.0
2023-02-17,100,1.4,0,0,0,0.0
2023-02-18,100,-17.7,0,1,0,0.0
2023-02-19,100,-9.4,0,1,1,0.0
2023-02-20,100,-65.8,0,1,1,0.0
2023-02-21,100,-45.3,0,0,0,0.0
2023-02-22,100,-39.4,0,0,0,0.0
2023-02-23,100,-114.0,0,0,4,0.0
2023-02-24,100,-4.4,0,0,0,0.0
2023-02-25,100,11.5,0,1,0,0.0
2023-02-26,100,-8.7,0,1,0,0.0
2023-02-27,100,-11.3,0,0,1,0.0
2023-02-28,100,6.2,0,0,2,0.0
2023-03-01,100,39.1,0,1,1,0.0
2023-03-02,100,52.5,0,1,1,0.0
2023-03-03,100,49.5,0,0,0,0.0
2023-03-04,100,7.7,0,0,0,0.0
2023-03-05,100,49.9,0,0,5,0.0
2023-03-06,100,6.6,0,0,0,0.0
2023-03-07,100,-64.7,0,0,2,0.0
2023-03-08,100,-33.4,0,0,1,0.0
2023-03-09,100,-110.6,0,0,0,0.0
2023-03-10,100,-68.7,0,0,5,0.0
2023-03-11,100,-12.6,0,0,2,0.0
2023-03-12,100,-47.8,0,0,0,0.0
2023-03-13,100,19.7,0,0,2,0.0
2023-03-14,100,-11.2,0,0,1,0.0
2023-03-15,100,-50.0,0,0,1,0.0
2023-03-16,100,31.4,0,0,8,0.0
2023-03-17,100,62.5,0,0,1,0.0
