fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,5395.2,1,0,0,55.0
2023-01-02,100,5490.8,0,0,4,80.0
2023-01-03,39.9,5372.0,1,0,0,55.0
2023-01-04,0,-9,0,0,0,-9
2023-01-05,42.3,4799.5,1,0,1,80.0
2023-01-06,100,4714.6,0,0,1,80.0
2023-01-07,100,4651.2,0,0,5,75.0
2023-01-08,100,4983.3,0,0,1,65.0
2023-01-09,100,4896.2,0,0,4,65.0
2023-01-10,100,4798.3,0,0,1,75.0
2023-01-11,100,4898.2,0,0,1,80.0
2023-01-12,100,4886.7,0,0,4,75.0
2023-01-13,99.2,4545.5,2,0,3,80.0
2023-01-14,100,3892.5,0,0,1,80.0
2023-01-15,71.3,3558.0,3,0,3,70.0
2023-01-16,93.2,3587.9,1,0,3,75.0
2023-01-17,99.3,3689.2,1,0,4,80.0
2023-01-18,100,3751.4,0,0,5,80.0
2023-01-19,100,3686.1,0,0,2,80.0
2023-01-20,100.0,3743.6,1,0,3,80.0
2023-01-21,98.3,3727.9,1,0,6,75.0
2023-01-22,0,-9,0,0,0,-9
2023-01-23,0,-9,0,0,0,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,0,-9,0,0,0,-9
2023-01-26,66.1,4553.3,1,0,2,80.0
2023-01-27,100.0,4311.4,1,0,3,80.0
2023-01-28,100,4385.2,0,0,0,70.0
2023-01-29,98.2,3941.5,4,0,2,75.0
2023-01-30,100.0,3937.9,1,0,1,80.0
2023-01-31,100,4257.9,0,0,1,80.0
2023-02-01,100,4302.4,0,0,1,80.0
2023-02-02,85.7,4273.2,1,0,3,80.0
2023-02-03,0,-9,0,0,0,-9
2023-02-04,0,-9,0,0,0,-9
2023-02-05,0,-9,0,0,0,-9
2023-02-06,34.7,4193.2,1,0,0,80.0
2023-02-07,99.8,4091.6,4,0,1,80.0
2023-02-08,100,4035.6,0,0,1,80.0
2023-02-09,99.7,4263.4,64,0,1,100.0
2023-02-10,99.9,4158.7,34,0,1,90.0
2023-02-11,100.0,3995.8,6,0,4,85.0
2023-02-12,100,3993.0,0,0,3,70.0
2023-02-13,99.9,4041.0,14,0,0,90.0
2023-02-14,99.7,4043.5,67,0,0,90.0
