fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-28485.9,1,0,0,35.0
2023-01-02,100,-28476.5,0,0,0,35.0
2023-01-03,100,-28481.8,0,0,0,35.0
2023-01-04,100,-28485.4,0,0,0,35.0
2023-01-05,100,-28497.9,0,0,0,35.0
2023-01-06,100,-28518.5,0,0,0,35.0
2023-01-07,100,-28521.7,0,0,0,35.0
2023-01-08,98.8,-28479.9,3,0,0,35.0
2023-01-09,100,-28498.5,0,0,0,35.0
2023-01-10,100,-28501.2,0,0,0,35.0
2023-01-11,99.6,-28539.4,1,0,0,35.0
2023-01-12,100,-28588.7,0,0,0,35.0
2023-01-13,100,-28648.4,0,0,0,35.0
2023-01-14,100,-28686.9,0,0,0,35.0
2023-01-15,100,-28694.8,0,0,0,40.0
2023-01-16,100,-28725.3,0,0,0,35.0
2023-01-17,100,-28757.7,0,0,0,35.0
2023-01-18,100,-28787.9,0,0,0,40.0
2023-01-19,99.6,-28794.2,1,0,0,35.0
2023-01-20,100,-28687.2,0,1,0,40.0
2023-01-21,100,-28711.0,0,0,0,35.0
2023-01-22,100,-28731.1,0,0,0,35.0
2023-01-23,100,-28753.6,0,0,0,35.0
2023-01-24,100,-28738.3,0,0,0,35.0
2023-01-25,100,-28712.7,0,2,0,35.0
2023-01-26,99.2,-28735.2,2,0,0,35.0
2023-01-27,100,-28663.6,0,1,0,35.0
2023-01-28,99.6,-28785.2,1,0,0,35.0
2023-01-29,100,-28827.2,0,0,0,35.0
2023-01-30,99.6,-28859.4,1,1,1,35.0
2023-01-31,100,-28867.6,0,0,0,35.0
2023-02-01,100,-28856.5,0,0,0,35.0
2023-02-02,100,-28851.4,0,0,0,35.0
2023-02-03,100,-28843.3,0,0,0,35.0
2023-02-04,99.6,-28831.0,1,0,0,35.0
2023-02-05,100,-28623.5,0,0,0,35.0
2023-02-06,100,-28616.3,0,0,0,40.0
2023-02-07,100,-28592.8,0,1,0,35.0
2023-02-08,100,-28598.8,0,0,0,35.0
2023-02-09,100,-28604.7,0,0,0,35.0
2023-02-10,100,-28613.7,0,0,0,35.0
2023-02-11,100,-28614.6,0,0,0,35.0
2023-02-12,100,-28613.6,0,0,0,35.0
2023-02-13,100,-28601.3,0,0,0,40.0
2023-02-14,100,-28583.3,0,1,0,35.0
2023-02-15,100,-28558.0,0,2,1,35.0
2023-02-16,100,-28546.9,0,1,0,35.0
2023-02-17,100,-28544.8,0,0,0,35.0
2023-02-18,100,-28542.2,0,1,0,35.0
2023-02-19,100,-28519.2,0,1,0,35.0
2023-02-20,100,-28497.7,0,1,0,35.0
2023-02-21,100,-28485.5,0,0,0,35.0
2023-02-22,99.2,-28520.6,2,0,0,40.0
2023-02-23,99.2,-28532.7,2,0,0,35.0
2023-02-24,99.6,-28571.4,1,0,0,35.0
2023-02-25,99.6,-28423.3,1,1,0,35.0
2023-02-26,99.2,-28533.2,2,1,0,35.0
2023-02-27,99.2,-28522.5,2,0,0,35.0
2023-02-28,99.9,-28344.9,1,0,0,35.0
2023-03-01,99.3,-28450.2,2,1,0,35.0
2023-03-02,99.6,-28457.6,1,1,0,35.0
2023-03-03,100,-28265.0,0,0,0,35.0
2023-03-04,100,-28252.4,0,0,0,35.0
2023-03-05,99.6,-28367.2,1,0,2,35.0
2023-03-06,99.6,-28356.5,1,0,0,35.0
2023-03-07,100,-28267.4,0,0,0,35.0
2023-03-08,100,-28268.0,0,0,0,35.0
2023-03-09,100,-28463.4,0,0,0,35.0
2023-03-10,100,-28536.0,0,0,1,35.0
2023-03-11,100,-28555.8,0,0,0,35.0
2023-03-12,100,-28585.5,0,0,0,35.0
2023-03-13,100,-28603.5,0,0,0,35.0
2023-03-14,100,-28621.0,0,0,1,35.0
2023-03-15,100,-28638.0,0,0,0,35.0
2023-03-16,100,-28639.4,0,0,0,35.0
2023-03-17,100,-28678.2,0,0,0,35.0
2023-03-18,100,-28723.7,0,0,0,40.0
2023-03-19,100,-28757.3,0,0,1,35.0
2023-03-20,100,-28779.7,0,0,0,35.0
2023-03-21,99.6,-28796.1,1,0,0,35.0
2023-03-22,100,-28794.8,0,0,0,35.0
2023-03-23,100,-28789.1,0,0,0,35.0
2023-03-24,99.6,-28887.6,1,0,0,35.0
2023-03-25,100,-28954.8,0,0,0,35.0
2023-03-26,100,-28934.9,0,0,0,35.0
2023-03-27,100,-28914.8,0,1,0,35.0
2023-03-28,100,-28885.8,0,2,0,35.0
2023-03-29,100,-28859.8,0,1,0,35.0
2023-03-30,99.6,-28822.2,1,2,1,40.0
2023-03-31,97.3,-28728.7,7,0,0,35.0
2023-04-01,100,-28570.1,0,0,0,40.0
2023-04-02,99.2,-28598.6,2,0,0,35.0
2023-04-03,100,-28588.6,0,0,0,35.0
2023-04-04,98.8,-28630.7,3,0,0,40.0
2023-04-05,100,-28499.9,0,2,0,40.0
2023-04-06,100,-28457.2,0,0,0,35.0
2023-04-07,100,-28402.8,0,0,0,35.0
2023-04-08,100,-28382.7,0,0,0,35.0
2023-04-09,100,-28408.6,0,0,0,35.0
2023-04-10,100,-28414.2,0,0,0,35.0
2023-04-11,100,-28383.1,0,0,0,35.0
2023-04-12,100,-28395.5,0,0,0,35.0
