fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-33707.3,1,0,0,0.0
2023-01-02,100,-33836.1,0,0,0,0.0
2023-01-03,71.3,-33826.4,61,0,0,0.0
2023-01-04,0,-9,9,9,9,-9
2023-01-05,0,-9,9,9,9,-9
2023-01-06,0,-9,9,9,9,-9
2023-01-07,0,-9,9,9,9,-9
2023-01-08,0,-9,9,9,9,-9
2023-01-09,0.4,-33234.9,41,0,0,80.0
2023-01-10,0,-9,9,9,9,-9
2023-01-11,0,-9,9,9,9,-9
2023-01-12,0,-9,9,9,9,-9
2023-01-13,0,-9,9,9,9,-9
2023-01-14,1.1,-33662.7,65,0,0,75.0
2023-01-15,0,-9,9,9,9,-9
2023-01-16,0,-9,9,9,9,-9
2023-01-17,0,-9,9,9,9,-9
2023-01-18,0.6,-33902.5,24,0,0,80.0
2023-01-19,0,-9,0,0,0,-9
2023-01-20,5.1,-33281.9,55,0,0,20.0
2023-01-21,0,-9,9,9,9,-9
2023-01-22,0,-9,9,9,9,-9
2023-01-23,0,-9,9,9,9,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,19.6,-32677.9,77,0,0,10.0
2023-01-26,0,-9,0,0,0,-9
2023-01-27,26.8,-32729.7,68,0,0,5.0
2023-01-28,0,-9,9,9,9,-9
2023-01-29,0.6,-34329.2,21,0,0,10.0
2023-01-30,3.0,-32722.6,2,0,0,-9
2023-01-31,0,-9,9,9,9,-9
2023-02-01,0,-9,9,9,9,-9
2023-02-02,0,-9,9,9,9,-9
2023-02-03,0,-9,9,9,9,-9
2023-02-04,0,-9,9,9,9,-9
2023-02-05,0,-9,9,9,9,-9
2023-02-06,0,-9,0,0,0,-9
2023-02-07,11.5,-33159.3,80,0,0,15.0
2023-02-08,0,-9,9,9,9,-9
2023-02-09,0,-9,9,9,9,-9
2023-02-10,0,-9,9,9,9,-9
2023-02-11,0,-9,9,9,9,-9
2023-02-12,0,-9,9,9,9,-9
2023-02-13,0,-9,0,0,0,-9
2023-02-14,1.1,-33470.5,2,0,0,-9
2023-02-15,2.6,-33399.2,3,0,0,100.0
2023-02-16,8.7,-33979.5,97,0,0,40.0
2023-02-17,0.0,-34065.0,6,0,0,-9
2023-02-18,0.8,-33554.9,2,0,0,-9
2023-02-19,16.6,-34256.6,38,0,4,0.0
2023-02-20,4.6,-33110.1,34,0,0,15.0
2023-02-21,0,-9,9,9,9,-9
2023-02-22,0,-9,9,9,9,-9
2023-02-23,0,-9,9,9,9,-9
2023-02-24,0,-9,9,9,9,-9
2023-02-25,5.4,-33460.1,1,0,0,5.0
2023-02-26,21.6,-32552.4,28,0,0,75.0
2023-02-27,1.9,-34297.3,77,0,0,20.0
2023-02-28,95.2,-33846.2,1,0,0,0.0
2023-03-01,92.0,-33903.8,3,0,5,0.0
2023-03-02,100.0,-33769.5,1,0,3,0.0
2023-03-03,100,-33734.9,0,0,3,0.0
2023-03-04,100,-33734.7,0,0,3,0.0
2023-03-05,100,-33736.2,0,0,0,0.0
2023-03-06,100,-33577.6,0,0,0,0.0
2023-03-07,100,-33780.8,0,0,2,0.0
2023-03-08,100,-33805.3,0,0,1,0.0
2023-03-09,100,-33714.8,0,0,0,0.0
2023-03-10,100,-33607.7,0,0,6,0.0
2023-03-11,100,-33849.1,0,0,4,0.0
2023-03-12,100,-33726.0,0,0,0,0.0
2023-03-13,100,-33712.8,0,0,2,0.0
2023-03-14,100,-33687.8,0,0,1,0.0
2023-03-15,100,-33769.7,0,0,0,0.0
2023-03-16,100,-33651.2,0,0,7,0.0
2023-03-17,100,-33800.6,0,0,1,0.0
2023-03-18,100,-33757.5,0,0,9,0.0
2023-03-19,100,-33699.9,0,0,0,0.0
2023-03-20,100,-33615.0,0,0,0,0.0
2023-03-21,100,-33744.7,0,0,2,0.0
2023-03-22,100,-33842.8,0,0,6,0.0
2023-03-23,100,-33692.4,0,0,0,0.0
2023-03-24,100,-33746.5,0,0,0,0.0
2023-03-25,100,-33797.8,0,0,0,0.0
2023-03-26,100,-33774.4,0,0,0,0.0
2023-03-27,100.0,-33618.6,1,0,0,0.0
2023-03-28,100.0,-33668.5,1,0,0,0.0
2023-03-29,100.0,-33800.4,1,0,0,0.0
2023-03-30,100.0,-33657.1,1,0,7,0.0
2023-03-31,100,-33756.3,0,0,0,0.0
2023-04-01,100,-33769.6,0,0,0,0.0
2023-04-02,100,-33728.5,0,0,6,0.0
2023-04-03,100,-33619.5,0,0,0,0.0
2023-04-04,100,-33766.7,0,0,4,0.0
2023-04-05,100.0,-33747.4,2,0,0,0.0
2023-04-06,100,-33748.8,0,0,0,0.0
2023-04-07,100,-33776.8,0,0,1,0.0
2023-04-08,100,-33698.2,0,0,1,0.0
2023-04-09,100,-33757.9,0,0,0,0.0
2023-04-10,100,-33684.7,0,0,0,0.0
2023-04-11,100,-33616.7,0,0,0,0.0
2023-04-12,100,-33758.3,0,0,0,0.0
2023-04-13,100,-33642.6,0,0,1,0.0
2023-04-14,100,-33759.7,0,0,0,0.0
2023-04-15,100,-33806.4,0,0,0,0.0
2023-04-16,100,-33798.5,0,0,0,0.0
2023-04-17,100.0,-33692.3,2,0,0,0.0
2023-04-18,100,-33677.1,0,0,2,0.0
2023-04-19,100.0,-33610.6,3,0,1,0.0
2023-04-20,100,-33815.5,0,0,2,0.0
2023-04-21,100,-33773.7,0,0,2,0.0
2023-04-22,100,-33742.0,0,0,1,0.0
2023-04-23,100,-33675.0,0,0,0,0.0
2023-04-24,100,-33719.1,0,0,10,0.0
2023-04-25,100,-33785.8,0,0,3,0.0
2023-04-26,100.0,-33696.1,1,0,2,0.0
2023-04-27,100.0,-33746.8,2,0,0,0.0
