fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-09-27,0,-9,0,0,0,-9
2023-09-28,14.8,-3115.3,1,0,6,-9
2023-09-29,99.8,-1483.0,5,0,15,-9
2023-09-30,100,-1523.7,0,0,10,-9
2023-10-01,100,-1374.4,0,0,15,-9
2023-10-02,100.0,-1068.5,1,0,12,-9
2023-10-03,100.0,-1040.1,1,0,7,-9
2023-10-04,100.0,-720.0,2,0,16,25.0
2023-10-05,100.0,-1295.7,1,0,8,25.0
2023-10-06,99.9,-1210.7,2,0,15,25.0
2023-10-07,100,-1088.0,0,0,14,25.0
2023-10-08,100,-852.3,0,0,22,25.0
2023-10-09,100.0,-1341.9,1,0,10,25.0
2023-10-10,100.0,-1186.7,1,0,11,25.0
2023-10-11,100.0,-1061.0,1,0,20,25.0
2023-10-12,100.0,-1173.2,1,0,14,25.0
2023-10-13,100.0,-1140.6,1,0,11,25.0
2023-10-14,100,-841.2,0,0,15,25.0
2023-10-15,100,-978.3,0,0,10,25.0
2023-10-16,100.0,-801.6,1,0,13,25.0
2023-10-17,100.0,-1179.2,1,0,17,25.0
2023-10-18,100.0,-1163.4,1,0,6,25.0
2023-10-19,100.0,-1176.0,1,0,4,25.0
2023-10-20,100.0,-784.5,2,0,20,25.0
2023-10-21,100.0,-1091.8,1,0,13,25.0
2023-10-22,100,-1031.3,0,0,13,25.0
2023-10-22,100.0,-1031.3,1,0,13,25.0
2023-10-23,100,-1190.0,0,0,14,25.0
2023-10-24,100,-1032.7,0,0,12,25.0
2023-10-25,100.0,-818.6,2,0,10,25.0
2023-10-26,100.0,-1025.0,1,0,14,25.0
2023-10-27,100,-1024.4,0,0,13,25.0
2023-10-28,100,-1116.9,0,0,12,25.0
2023-10-29,100,-1118.6,0,0,4,25.0
2023-10-30,100.0,-1087.7,1,0,13,25.0
2023-10-31,100,-1066.1,0,0,14,25.0
2023-11-01,100,-919.8,0,0,4,25.0
2023-11-02,100.0,-1186.2,1,0,0,25.0
2023-11-03,100,-1162.9,0,0,2,25.0
2023-11-04,100,-1107.3,0,0,2,20.0
2023-11-05,100,-1106.0,0,0,7,25.0
2023-11-06,100,-789.6,0,0,8,25.0
2023-11-07,100.0,-1214.1,2,0,4,25.0
2023-11-08,100,-1355.6,0,0,4,25.0
2023-11-09,100.0,-1298.6,5,0,5,20.0
2023-11-10,100.0,-1180.3,4,0,6,25.0
2023-11-11,100,-1159.5,0,0,2,20.0
2023-11-12,100,-1189.4,0,0,5,25.0
2023-11-13,100,-1232.5,0,0,8,20.0
2023-11-14,100,-1226.0,0,0,2,20.0
2023-11-15,100,-925.9,0,0,8,25.0
2023-11-16,100,-1256.4,0,0,8,25.0
2023-11-17,100.0,-1232.6,2,0,7,25.0
2023-11-18,100,-848.9,0,0,9,25.0
2023-11-19,100,-832.3,0,0,2,25.0
2023-11-20,100.0,-1377.2,1,0,4,25.0
2023-11-21,100.0,-1215.7,1,0,5,25.0
2023-11-22,100,-1071.1,0,0,14,25.0
2023-11-23,100.0,-1265.2,2,0,5,25.0
2023-11-24,100.0,-1308.8,1,0,5,25.0
