fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,451.9,1,0,9,10.0
2023-01-02,100,499.7,0,0,9,0.0
2023-01-03,100,493.8,0,0,5,0.0
2023-01-04,100,498.8,0,0,7,10.0
2023-01-05,100,501.2,0,0,6,0.0
2023-01-06,100,484.4,0,0,5,0.0
2023-01-07,100,532.7,0,0,0,0.0
2023-01-08,99.3,500.1,3,0,2,0.0
2023-01-09,0,-9,9,9,9,-9
2023-01-10,0,-9,9,9,9,-9
2023-01-11,0,-9,9,9,9,-9
2023-01-12,100,474.8,0,0,11,0.0
2023-01-13,100,505.6,0,0,14,0.0
2023-01-14,100,478.3,0,0,7,0.0
2023-01-15,100,512.7,0,0,2,0.0
2023-01-16,100,506.3,0,0,3,0.0
2023-01-17,100,486.6,0,0,4,0.0
2023-01-18,100,482.1,0,0,13,5.0
2023-01-19,100,492.2,0,0,5,0.0
2023-01-20,100,499.5,0,1,10,0.0
2023-01-21,100,488.2,0,0,6,0.0
2023-01-22,100,495.4,0,0,5,0.0
2023-01-23,100,515.7,0,0,2,0.0
2023-01-24,100,500.3,0,0,8,0.0
2023-01-25,100,494.9,0,2,3,0.0
2023-01-26,100,478.8,0,0,8,0.0
2023-01-27,100,491.4,0,1,7,10.0
2023-01-28,100,469.2,0,0,11,10.0
2023-01-29,100,486.0,0,0,11,0.0
2023-01-30,100,528.2,0,1,12,0.0
2023-01-31,100,505.7,0,0,7,0.0
2023-02-01,100,497.6,0,0,10,0.0
2023-02-02,100,494.9,0,0,6,0.0
2023-02-03,100,544.1,0,0,6,0.0
2023-02-04,100,508.0,0,0,9,0.0
2023-02-05,100,490.1,0,0,6,0.0
2023-02-06,100,505.3,0,0,5,25.0
2023-02-07,100,498.9,0,1,9,0.0
2023-02-08,100,489.3,0,0,4,0.0
2023-02-09,100,485.2,0,0,3,0.0
2023-02-10,100,492.1,0,0,0,0.0
2023-02-11,100,490.7,0,0,2,0.0
2023-02-12,100,495.6,0,0,2,0.0
2023-02-13,100,473.8,0,0,0,0.0
2023-02-14,100,472.3,0,1,1,0.0
2023-02-15,100,473.1,0,2,3,0.0
2023-02-16,100,484.2,0,1,2,0.0
2023-02-17,100,503.9,0,0,1,0.0
2023-02-18,100,498.1,0,1,1,0.0
2023-02-19,100,486.3,0,1,2,0.0
2023-02-20,100,503.7,0,1,0,0.0
2023-02-21,100,521.1,0,0,1,0.0
2023-02-22,100,515.2,0,0,1,0.0
2023-02-23,100,505.2,0,0,4,0.0
2023-02-24,100,505.9,0,0,0,0.0
2023-02-25,99.8,475.2,2,1,0,0.0
2023-02-26,100,491.3,0,1,0,0.0
2023-02-27,100,477.0,0,0,1,0.0
2023-02-28,100,482.0,0,0,1,0.0
2023-03-01,100,445.7,0,1,3,0.0
2023-03-02,100,480.4,0,1,3,0.0
2023-03-03,100,480.7,0,0,2,0.0
2023-03-04,100,479.6,0,0,2,0.0
2023-03-05,100,398.2,0,0,4,0.0
2023-03-06,100,426.0,0,0,3,0.0
2023-03-07,100,451.6,0,0,4,0.0
2023-03-08,100,497.6,0,0,2,0.0
2023-03-09,100,545.5,0,0,0,0.0
2023-03-10,100,514.4,0,0,5,0.0
2023-03-11,100,525.8,0,0,3,0.0
2023-03-12,100,449.3,0,0,5,0.0
2023-03-13,100,485.5,0,0,8,0.0
2023-03-14,100,474.2,0,0,2,0.0
2023-03-15,100,488.3,0,0,1,0.0
2023-03-16,100,338.2,0,0,10,0.0
2023-03-17,100,459.5,0,0,4,0.0
2023-03-18,100,508.6,0,0,2,0.0
2023-03-19,100,428.2,0,0,3,0.0
2023-03-20,100,471.6,0,0,0,0.0
2023-03-21,100,504.6,0,0,7,0.0
2023-03-22,100,497.2,0,0,0,0.0
2023-03-23,100,499.9,0,0,0,0.0
2023-03-24,100,507.5,0,0,3,0.0
2023-03-25,100,313.6,0,0,6,0.0
2023-03-26,100,488.0,0,0,5,0.0
2023-03-27,100,431.7,0,1,0,0.0
2023-03-28,100,506.7,0,2,6,0.0
2023-03-29,100,479.0,0,1,2,0.0
2023-03-30,100,480.0,0,2,5,0.0
2023-03-31,100,454.6,0,0,0,0.0
2023-04-01,100,526.5,0,0,8,0.0
2023-04-02,100,418.5,0,0,7,0.0
2023-04-03,100,546.1,0,0,2,0.0
2023-04-04,100,461.7,0,0,1,0.0
2023-04-05,100,495.8,0,2,0,0.0
2023-04-06,100,451.3,0,0,2,0.0
2023-04-07,100,222.3,0,0,1,0.0
2023-04-08,91.5,377.4,78,0,0,0.0
2023-04-09,92.5,459.1,61,0,1,0.0
2023-04-10,0,-9,9,9,9,-9
2023-04-11,0,-9,9,9,9,-9
2023-04-12,99.2,363.0,2,0,0,0.0
2023-04-13,0,-9,9,9,9,-9
2023-04-14,0,-9,9,9,9,-9
2023-04-15,0,-9,9,9,9,-9
2023-04-16,0,-9,9,9,9,-9
2023-04-17,100,708.3,0,3,6,0.0
2023-04-18,7.6,200.9,1,0,1,0.0
2023-04-19,0,-9,0,0,0,-9
2023-04-20,0,-9,0,0,0,-9
2023-04-21,0,-9,0,0,0,-9
2023-04-22,0,-9,0,0,0,-9
2023-04-23,0,-9,0,0,0,-9
2023-04-24,0,-9,0,0,0,-9
2023-04-25,0,-9,0,0,0,-9
2023-04-26,0,-9,0,0,0,-9
2023-04-27,0,-9,0,0,0,-9
2023-04-28,0,-9,0,0,0,-9
2023-04-29,0,-9,0,0,0,-9
2023-04-30,0,-9,0,0,0,-9
2023-05-01,0,-9,0,0,0,-9
2023-05-02,0,-9,0,0,0,-9
2023-05-03,0,-9,0,0,0,-9
2023-05-04,0,-9,0,0,0,-9
2023-05-05,0,-9,0,0,0,-9
2023-05-06,0,-9,0,0,0,-9
2023-05-07,0,-9,0,0,0,-9
2023-05-08,0,-9,0,0,0,-9
2023-05-09,0,-9,0,0,0,-9
2023-05-10,0,-9,0,0,0,-9
2023-05-11,0,-9,0,0,0,-9
2023-05-12,0,-9,0,0,0,-9
2023-05-13,0,-9,0,0,0,-9
2023-05-14,0,-9,0,0,0,-9
2023-05-15,0,-9,0,0,0,-9
2023-05-16,0,-9,0,0,0,-9
2023-05-17,0,-9,0,0,0,-9
2023-05-18,0,-9,0,0,0,-9
2023-05-19,0,-9,0,0,0,-9
2023-05-20,0,-9,0,0,0,-9
2023-05-21,0,-9,0,0,0,-9
2023-05-22,0,-9,0,0,0,-9
2023-05-23,0,-9,0,0,0,-9
2023-05-24,0,-9,0,0,0,-9
2023-05-25,0,-9,0,0,0,-9
2023-05-26,0,-9,0,0,0,-9
