fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-35447.2,1,0,0,30.0
2023-01-02,100,-35470.0,0,0,0,35.0
2023-01-03,100,-35497.8,0,0,0,35.0
2023-01-04,100,-35575.7,0,0,0,35.0
2023-01-05,100,-35546.3,0,0,0,35.0
2023-01-06,100,-35521.1,0,0,0,35.0
2023-01-07,100,-35487.2,0,0,0,30.0
2023-01-08,100,-35527.2,0,0,0,35.0
2023-01-09,100,-35489.9,0,0,0,35.0
2023-01-10,100,-35523.5,0,0,0,35.0
2023-01-11,100,-35520.8,0,0,0,35.0
2023-01-12,100,-35542.5,0,0,0,35.0
2023-01-13,100,-35570.9,0,0,0,35.0
2023-01-14,100,-35580.0,0,0,0,35.0
2023-01-15,100,-35567.6,0,0,0,35.0
2023-01-16,100,-35510.0,0,0,0,35.0
2023-01-17,100,-35506.2,0,0,0,35.0
2023-01-18,100,-35509.6,0,0,0,35.0
2023-01-19,100,-35532.1,0,0,0,35.0
2023-01-20,100.0,-35531.7,1,0,0,35.0
2023-01-21,100,-35519.7,0,0,0,35.0
2023-01-22,100,-35470.9,0,0,0,35.0
2023-01-23,100,-35508.3,0,0,0,35.0
2023-01-24,100,-35446.9,0,0,0,35.0
2023-01-25,100.0,-35443.4,2,0,0,35.0
2023-01-26,100,-35423.9,0,0,0,30.0
2023-01-27,100.0,-35470.7,1,0,0,35.0
2023-01-28,100,-35486.7,0,0,0,35.0
2023-01-29,100,-35424.1,0,0,0,35.0
2023-01-30,100.0,-35284.3,1,0,0,30.0
2023-01-31,100,-35306.7,0,0,0,30.0
2023-02-01,100,-35311.9,0,0,0,35.0
2023-02-02,100,-35218.0,0,0,0,30.0
2023-02-03,100,-35082.2,0,0,0,30.0
2023-02-04,100,-35049.1,0,0,0,30.0
2023-02-05,100,-35044.3,0,0,0,30.0
2023-02-06,100,-35019.5,0,0,0,30.0
2023-02-07,98.4,-35046.9,1,0,0,30.0
2023-02-08,100,-35033.9,0,0,0,30.0
2023-02-09,100,-34959.6,0,0,0,30.0
2023-02-10,100,-34924.2,0,0,0,30.0
2023-02-11,100,-34871.2,0,0,0,30.0
2023-02-12,100,-34844.5,0,0,0,30.0
2023-02-13,100,-34810.5,0,0,0,30.0
2023-02-14,100.0,-34813.6,1,0,0,30.0
2023-02-15,100.0,-34820.5,2,0,1,30.0
2023-02-16,100.0,-34829.6,1,0,0,30.0
2023-02-17,100,-34843.7,0,0,0,30.0
2023-02-18,100.0,-34829.1,1,0,0,30.0
2023-02-19,100.0,-34849.1,1,0,0,30.0
2023-02-20,100.0,-34806.0,1,0,0,30.0
2023-02-21,100,-34816.5,0,0,0,30.0
2023-02-22,100,-34916.3,0,0,0,35.0
2023-02-23,100,-34906.9,0,0,0,35.0
2023-02-24,100,-34823.8,0,0,0,30.0
2023-02-25,100.0,-34850.2,1,0,0,30.0
2023-02-26,100.0,-34798.0,1,0,0,30.0
2023-02-27,100,-34733.5,0,0,0,30.0
2023-02-28,100,-34710.0,0,0,0,30.0
2023-03-01,100.0,-34692.3,1,0,0,30.0
2023-03-02,100.0,-34715.3,1,0,0,30.0
2023-03-03,100,-34687.3,0,0,0,30.0
2023-03-04,100,-34701.7,0,0,0,30.0
2023-03-05,100,-34719.4,0,0,0,30.0
2023-03-06,100,-34727.9,0,0,0,30.0
2023-03-07,100,-34738.8,0,0,1,30.0
2023-03-08,100,-34795.0,0,0,0,30.0
2023-03-09,100,-34804.2,0,0,1,30.0
2023-03-10,100,-34834.8,0,0,1,35.0
2023-03-11,100,-34820.4,0,0,0,30.0
2023-03-12,100,-34901.3,0,0,0,35.0
2023-03-13,100,-34877.4,0,0,0,35.0
2023-03-14,100,-34921.0,0,0,0,35.0
2023-03-15,100,-34886.9,0,0,0,35.0
2023-03-16,100,-34896.7,0,0,0,35.0
2023-03-17,100,-34898.1,0,0,0,35.0
2023-03-18,100,-34900.6,0,0,0,35.0
2023-03-19,100,-34927.1,0,0,0,35.0
2023-03-20,100,-34948.1,0,0,0,35.0
2023-03-21,100,-34907.6,0,0,0,35.0
2023-03-22,100,-34909.3,0,0,0,35.0
2023-03-23,100,-34800.2,0,0,0,30.0
2023-03-24,100,-34752.7,0,0,0,30.0
2023-03-25,100,-34712.1,0,0,1,30.0
2023-03-26,100,-34704.6,0,0,0,30.0
2023-03-27,82.3,-34782.7,1,0,0,30.0
2023-03-28,0,-9,0,0,0,-9
2023-03-29,0,-9,0,0,0,-9
2023-03-30,0,-9,0,0,0,-9
2023-03-31,0,-9,0,0,0,-9
2023-04-01,0,-9,0,0,0,-9
2023-04-02,0,-9,0,0,0,-9
2023-04-03,0,-9,0,0,0,-9
2023-04-04,0,-9,0,0,0,-9
2023-04-05,0,-9,0,0,0,-9
2023-04-06,0,-9,0,0,0,-9
2023-04-07,0,-9,0,0,0,-9
2023-04-08,0,-9,0,0,0,-9
2023-04-09,0,-9,0,0,0,-9
2023-04-10,0,-9,0,0,0,-9
2023-04-11,0,-9,0,0,0,-9
2023-04-12,0,-9,0,0,0,-9
2023-04-13,0,-9,0,0,0,-9
2023-04-14,0,-9,0,0,0,-9
2023-04-15,0,-9,0,0,0,-9
2023-04-16,0,-9,0,0,0,-9
2023-04-17,0,-9,0,0,0,-9
2023-04-18,0,-9,0,0,0,-9
2023-04-19,0,-9,0,0,0,-9
2023-04-20,0,-9,0,0,0,-9
2023-04-21,0,-9,0,0,0,-9
2023-04-22,0,-9,0,0,0,-9
2023-04-23,0,-9,0,0,0,-9
2023-04-24,0,-9,0,0,0,-9
2023-04-25,0,-9,0,0,0,-9
2023-04-26,0,-9,0,0,0,-9
2023-04-27,0,-9,0,0,0,-9
2023-04-28,0,-9,0,0,0,-9
2023-04-29,0,-9,0,0,0,-9
2023-04-30,0,-9,0,0,0,-9
2023-05-01,0,-9,0,0,0,-9
2023-05-02,0,-9,0,0,0,-9
2023-05-03,0,-9,0,0,0,-9
2023-05-04,0,-9,0,0,0,-9
2023-05-05,0,-9,0,0,0,-9
2023-05-06,0,-9,0,0,0,-9
2023-05-07,0,-9,0,0,0,-9
2023-05-08,0,-9,0,0,0,-9
2023-05-09,0,-9,0,0,0,-9
2023-05-10,0,-9,0,0,0,-9
2023-05-11,0,-9,0,0,0,-9
2023-05-12,0,-9,0,0,0,-9
2023-05-13,0,-9,0,0,0,-9
2023-05-14,0,-9,0,0,0,-9
2023-05-15,0,-9,0,0,0,-9
2023-05-16,0,-9,0,0,0,-9
2023-05-17,0,-9,0,0,0,-9
2023-05-18,0,-9,0,0,0,-9
2023-05-19,0,-9,0,0,0,-9
2023-05-20,0,-9,0,0,0,-9
2023-05-21,0,-9,0,0,0,-9
2023-05-22,0,-9,0,0,0,-9
2023-05-23,0,-9,0,0,0,-9
2023-05-24,0,-9,0,0,0,-9
2023-05-25,0,-9,0,0,0,-9
2023-05-26,0,-9,0,0,0,-9
2023-05-27,0,-9,0,0,0,-9
2023-05-28,0,-9,0,0,0,-9
2023-05-29,0,-9,0,0,0,-9
2023-05-30,0,-9,0,0,0,-9
2023-05-31,0,-9,0,0,0,-9
2023-06-01,0,-9,0,0,0,-9
2023-06-02,0,-9,0,0,0,-9
2023-06-03,0,-9,0,0,0,-9
2023-06-04,0,-9,0,0,0,-9
2023-06-05,0,-9,0,0,0,-9
2023-06-06,0,-9,0,0,0,-9
2023-06-07,0,-9,0,0,0,-9
2023-06-08,0,-9,0,0,0,-9
2023-06-09,0,-9,0,0,0,-9
2023-06-10,0,-9,0,0,0,-9
2023-06-11,28.0,-36820.4,4,0,0,40.0
2023-06-12,95.4,-37003.5,3,0,0,35.0
2023-06-13,100,-38198.9,0,0,0,30.0
2023-06-14,100,-38208.9,0,0,0,30.0
2023-06-15,100,-38199.1,0,0,0,30.0
2023-06-16,100.0,-38215.5,1,0,0,30.0
2023-06-17,100.0,-38236.1,1,0,0,30.0
2023-06-18,100,-38249.6,0,0,0,30.0
2023-06-19,100,-38183.9,0,0,0,30.0
2023-06-20,100,-38125.2,0,0,1,30.0
2023-06-21,100.0,-38075.9,2,0,0,30.0
2023-06-22,100.0,-38042.0,4,0,1,30.0
2023-06-23,100,-38050.5,0,0,0,30.0
2023-06-24,100,-38061.6,0,0,0,30.0
2023-06-25,100,-38090.9,0,0,0,30.0
2023-06-26,100,-38063.1,0,0,0,30.0
2023-06-27,100,-38029.5,0,0,0,30.0
2023-06-28,100,-37967.8,0,0,0,30.0
2023-06-29,100.0,-37944.5,1,0,0,30.0
2023-06-30,100.0,-37850.6,1,0,1,30.0
2023-07-01,100.0,-37773.9,1,0,0,30.0
2023-07-02,100,-37740.8,0,0,0,30.0
2023-07-03,100,-37731.0,0,0,0,30.0
2023-07-04,100,-37686.0,0,0,0,30.0
2023-07-05,100.0,-37643.1,1,0,0,30.0
