fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,51.7,-5544311.6,2,0,0,65.0
2023-01-02,49.8,-5529844.0,1,0,0,65.0
2023-01-03,52.4,-5532854.4,1,0,0,60.0
2023-01-04,53.9,-5529897.8,1,0,0,40.0
2023-01-05,51.3,-5522235.9,1,0,0,65.0
2023-01-06,49.5,-5512622.0,1,0,0,70.0
2023-01-07,51.5,-5513197.2,1,0,0,60.0
2023-01-08,52.1,-5512280.8,1,0,0,60.0
2023-01-09,50.9,-5504036.4,1,0,0,60.0
2023-01-10,52.6,-5505118.3,1,0,0,55.0
2023-01-11,52.8,-5498601.8,1,0,0,45.0
2023-01-12,42.3,-5453211.8,1,0,0,80.0
2023-01-13,50.9,-5476558.5,1,0,0,55.0
2023-01-14,50.0,-5471170.4,1,0,0,65.0
2023-01-15,53.0,-5476942.8,1,0,0,55.0
2023-01-16,50.6,-5475583.9,1,0,0,60.0
2023-01-17,54.1,-5487656.1,1,0,0,45.0
2023-01-18,51.4,-5481326.0,1,0,0,65.0
2023-01-19,47.4,-5527775.0,1,0,0,70.0
2023-01-20,52.4,-5550300.5,1,1,0,45.0
2023-01-21,47.2,-5529396.4,1,0,0,70.0
2023-01-22,49.0,-5532988.5,1,0,0,65.0
2023-01-23,54.5,-5555554.5,1,0,0,40.0
2023-01-24,50.1,-5545106.4,1,0,0,55.0
2023-01-25,52.8,-5555785.1,1,2,0,50.0
2023-01-26,50.5,-5556085.2,1,0,0,60.0
2023-01-27,52.1,-5571949.6,1,1,0,60.0
2023-01-28,52.7,-5585829.5,1,0,0,45.0
2023-01-29,53.4,-5595935.4,1,0,0,65.0
2023-01-30,56.7,-5613916.5,1,1,0,40.0
2023-01-31,53.7,-5615235.0,1,0,0,45.0
2023-02-01,53.1,-5622645.8,1,0,0,60.0
2023-02-02,53.1,-5604637.1,2,0,0,60.0
2023-02-03,54.6,-5611554.9,1,0,0,40.0
2023-02-04,53.5,-5615274.0,1,0,0,40.0
