fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-621.5,1,0,2,0.0
2023-01-02,100,-656.2,0,0,13,25.0
2023-01-03,100,-604.8,0,0,0,0.0
2023-01-04,100,-623.1,0,0,1,15.0
2023-01-05,100,-610.3,0,0,0,20.0
2023-01-06,100,-660.3,0,0,5,25.0
2023-01-07,100,-597.3,0,0,8,20.0
2023-01-08,100,-644.1,0,0,8,25.0
2023-01-09,100,-642.5,0,0,3,25.0
2023-01-10,100,-639.6,0,0,4,20.0
2023-01-11,100,-619.1,0,0,3,5.0
2023-01-12,100,-563.9,0,0,2,15.0
2023-01-13,100,-670.4,0,0,3,15.0
2023-01-14,100,-642.5,0,0,8,25.0
2023-01-15,100,-641.1,0,0,6,25.0
2023-01-16,100,-658.7,0,0,8,25.0
2023-01-17,100,-656.4,0,0,7,25.0
2023-01-18,100,-648.9,0,0,9,25.0
2023-01-19,100,-538.0,0,0,2,20.0
2023-01-20,100.0,-663.7,1,0,12,25.0
2023-01-21,100,-626.6,0,0,3,15.0
2023-01-22,100,-652.3,0,0,0,20.0
2023-01-23,100,-652.1,0,0,3,25.0
2023-01-24,100,-645.8,0,0,9,25.0
2023-01-25,100.0,-655.2,2,0,4,25.0
2023-01-26,100,-655.9,0,0,3,25.0
2023-01-27,100.0,-647.5,1,0,4,25.0
2023-01-28,100,-650.1,0,0,0,25.0
2023-01-29,100,-658.8,0,0,1,25.0
2023-01-30,100.0,-664.9,1,0,0,25.0
2023-01-31,100,-667.9,0,0,0,25.0
2023-02-01,100,-670.3,0,0,3,25.0
2023-02-02,100,-665.8,0,0,0,10.0
2023-02-03,100,-672.0,0,0,0,25.0
2023-02-04,100,-681.4,0,0,0,25.0
2023-02-05,100,-682.7,0,0,12,25.0
2023-02-06,100,-660.2,0,0,12,25.0
2023-02-07,99.8,-661.8,4,0,4,25.0
2023-02-08,100,-657.6,0,0,1,25.0
2023-02-09,100,-662.2,0,0,0,20.0
2023-02-10,100,-660.2,0,0,3,25.0
2023-02-11,100,-664.4,0,0,5,25.0
2023-02-12,100,-653.4,0,0,7,20.0
2023-02-13,100,-659.7,0,0,2,15.0
2023-02-14,100.0,-593.1,1,0,0,0.0
2023-02-15,100.0,-645.7,2,0,1,0.0
2023-02-16,100.0,-645.6,1,0,3,20.0
2023-02-17,100,-570.8,0,0,0,25.0
2023-02-18,100.0,-562.9,1,0,6,5.0
2023-02-19,100.0,-618.2,1,0,4,15.0
2023-02-20,100.0,-600.9,1,0,2,20.0
2023-02-21,100,-581.9,0,0,5,25.0
2023-02-22,100,-606.7,0,0,3,5.0
2023-02-23,100,-636.2,0,0,7,25.0
2023-02-24,100,-641.5,0,0,7,25.0
2023-02-25,100.0,-646.6,1,0,13,25.0
2023-02-26,100.0,-662.2,1,0,15,25.0
2023-02-27,100,-641.1,0,0,9,25.0
2023-02-28,100,-657.8,0,0,8,25.0
2023-03-01,100.0,-845.7,1,0,4,25.0
2023-03-02,100.0,-640.8,1,0,4,25.0
2023-03-03,100,-639.2,0,0,9,25.0
2023-03-04,100,-589.8,0,0,8,25.0
2023-03-05,100,-409.2,0,0,3,25.0
2023-03-06,100,-665.0,0,0,3,25.0
2023-03-07,100,-612.3,0,0,1,20.0
2023-03-08,100,-608.4,0,0,2,25.0
2023-03-09,100,-500.8,0,0,5,15.0
2023-03-10,100,-704.3,0,0,4,25.0
2023-03-11,100,-558.9,0,0,1,5.0
2023-03-12,100,-644.6,0,0,2,5.0
2023-03-13,100,-605.7,0,0,5,10.0
2023-03-14,100,-644.1,0,0,4,25.0
2023-03-15,100,-639.5,0,0,4,20.0
2023-03-16,100,-590.3,0,0,10,25.0
2023-03-17,100,-619.7,0,0,0,25.0
2023-03-18,100,-652.9,0,0,3,25.0
2023-03-19,100,-582.8,0,0,0,25.0
2023-03-20,100,-668.5,0,0,12,25.0
2023-03-21,100,-738.1,0,0,13,25.0
