fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,576.3,1,0,0,25.0
2023-01-02,100,585.7,0,0,0,25.0
2023-01-03,100,591.4,0,0,0,25.0
2023-01-04,100,593.4,0,0,0,25.0
2023-01-05,100,585.4,0,0,0,25.0
2023-01-06,100,574.0,0,0,2,25.0
2023-01-07,100,583.2,0,0,0,25.0
2023-01-08,100,592.7,0,0,0,25.0
2023-01-09,100,593.2,0,0,0,25.0
2023-01-10,100,585.4,0,0,0,25.0
2023-01-11,100,595.4,0,0,0,25.0
2023-01-12,100,598.0,0,0,0,25.0
2023-01-13,100,593.3,0,0,0,25.0
2023-01-14,100,591.9,0,0,0,25.0
2023-01-15,100,592.9,0,0,1,25.0
2023-01-16,100,589.9,0,0,0,25.0
2023-01-17,100,587.7,0,0,0,25.0
2023-01-18,100,582.8,0,0,0,25.0
2023-01-19,100,588.9,0,0,0,25.0
2023-01-20,100,592.0,0,1,0,25.0
2023-01-21,100,586.9,0,0,0,25.0
2023-01-22,100,588.8,0,0,0,25.0
2023-01-23,100,592.4,0,0,0,25.0
2023-01-24,100,582.7,0,0,0,25.0
2023-01-25,100,579.5,0,2,0,25.0
2023-01-26,100,571.3,0,0,1,25.0
2023-01-27,100,575.0,0,1,1,25.0
2023-01-28,100,573.0,0,0,0,25.0
2023-01-29,100,572.7,0,0,0,25.0
2023-01-30,100,573.0,0,1,0,25.0
2023-01-31,100,572.0,0,0,0,25.0
2023-02-01,100,574.9,0,0,0,25.0
2023-02-02,100,572.9,0,0,0,25.0
2023-02-03,100,581.9,0,0,0,25.0
2023-02-04,100,574.1,0,0,0,25.0
2023-02-05,100,570.1,0,0,0,25.0
2023-02-06,100,569.2,0,0,0,25.0
2023-02-07,100,568.7,0,1,3,25.0
2023-02-08,100,561.1,0,0,1,25.0
2023-02-09,100,553.3,0,0,0,25.0
2023-02-10,100,558.1,0,0,0,25.0
2023-02-11,100,554.2,0,0,0,25.0
2023-02-12,100,551.7,0,0,0,25.0
2023-02-13,100,545.1,0,0,0,25.0
2023-02-14,100,552.1,0,1,0,25.0
2023-02-15,100,561.7,0,2,1,25.0
2023-02-16,100,568.7,0,1,0,25.0
2023-02-17,100,579.8,0,0,0,25.0
2023-02-18,100,580.7,0,1,1,25.0
2023-02-19,100,578.3,0,1,0,25.0
2023-02-20,100,569.6,0,1,0,25.0
2023-02-21,100,560.6,0,0,0,25.0
2023-02-22,100,577.2,0,0,0,25.0
2023-02-23,100,584.1,0,0,0,25.0
2023-02-24,100,564.8,0,0,0,25.0
2023-02-25,100,555.3,0,1,0,25.0
2023-02-26,100,551.7,0,1,0,25.0
2023-02-27,100,549.5,0,0,1,25.0
2023-02-28,100,549.6,0,0,0,25.0
2023-03-01,100,561.5,0,1,0,25.0
2023-03-02,100,561.0,0,1,0,25.0
2023-03-03,100,539.4,0,0,1,25.0
2023-03-04,100,536.7,0,0,0,25.0
2023-03-05,100,556.2,0,0,0,25.0
2023-03-06,100,565.7,0,0,0,25.0
2023-03-07,99.6,545.7,1,0,1,25.0
2023-03-08,100,539.2,0,0,0,25.0
2023-03-09,100,552.1,0,0,0,25.0
2023-03-10,100,561.0,0,0,2,25.0
2023-03-11,100,558.6,0,0,1,25.0
2023-03-12,100,574.7,0,0,1,25.0
2023-03-13,100,571.3,0,0,1,25.0
2023-03-14,100,569.0,0,0,0,25.0
2023-03-15,100,564.3,0,0,4,25.0
